Word	Translation
Ένα τέτοιο ταξίδι είναι το όνειρό μου!	A trip like that is my dream!
Τόσο κόπο έκανα να τα μάθω...	I worked so hard to learn them...
Θέλουμε να χαλαρώσουμε, χωρίς να πληρώσουμε μια περιουσία.	We want to relax without paying a fortune.
Καιρό είχαμε να τα πούμε.	It's been a while since we talked.
Αξίζει!	It's worth it!
Παίρνω το πλοίο της γραμμής.	I take the scheduled ferry.
Θα σας έρθει πολύ πιο φτηνά.	It'll come out much cheaper for you.
Να αποφασίσετε όσο το δυνατόν πιο γρήγορα.	Decide as quickly as possible.
Μου λείπει η Αθήνα.	I miss Athens.
Είναι από τα αγαπημένα μου νησιά.	It's one of my favorite islands.
Τον Δεκαπενταύγουστο γίνεται χαμός.	Around August 15th it's total chaos.
Δε βρίσκεις χώρο ούτε να καθίσεις.	You can't even find space to sit.
Όλα εντάξει με το δωμάτιο; Είστε ικανοποιημένες;	Is everything OK with the room? Are you satisfied?
Γι' αυτό σας έψαχα.	That's what I was looking for you about.
Δεν μπορέσαμε να κλείσουμε μάτι όλη τη νύχτα.	We couldn't sleep a wink all night.
Δε σέβονται κανέναν.	They don't respect anyone.
Εμείς θέλουμε την ησυχία μας.	We want our peace and quiet.
Κατά τα άλλα...	Other than that...
Πώς σας φαίνεται το νησί μας;	How do you like our island?
Και ό,τι άλλο χρειαστείτε είμαι στη διάθεσή σας.	And for anything else you need, I'm at your disposal.
Καλή διαμονή σάς εύχομαι.	I wish you a pleasant stay.
