Word	Translation	Type
η άδεια	leave / vacation time	noun
αεροπορικά εισιτήρια → αεροπλάνο	plane tickets	phrase
ακτοπλοϊκά εισιτήρια → πλοίο	ferry tickets	phrase
η άνεση	comfort	noun
το αξιοθέατο	sight / attraction	noun
το δεκαήμερο = δέκα ημέρες	ten-day period	noun
το δεκαπενθήμερο = δεκαπέντε ημέρες	fifteen-day period	noun
ο Δεκαπενταύγουστος	Aug. 15 holiday period	noun
η διαμονή	accommodation	noun
η διασκέδαση	entertainment	noun
το δρομολόγιο	schedule / route	noun
κάνω κράτηση δωματίου ≠ ακυρώνω την κράτηση δωματίου	to book a room ≠ to cancel the booking	phrase
κλείνω εισιτήρια	to book tickets	phrase
οι τιμές ανεβαίνουν ≠ πέφτουν	prices go up ≠ down	phrase
οργανώνω πεζοπορία / εκδρομή	to organize a hike / trip	phrase
η προσφορά	offer / deal	noun
ο τουριστικός οδηγός	tourist guide(book)	noun
χαλαρώνω	to relax	verb
εντυπωσιακός, -ή, -ό	impressive	adjective
ερημικός, -ή, -ό	deserted / remote	adjective
οικονομικός, -ή, -ό	economical	adjective
πανέμορφος, -η, -ο	gorgeous	adjective
υπέροχος, -η, -ο	wonderful	adjective
ευκαιρία	opportunity	noun
δεν κλείνω μάτι = δεν κοιμάμαι	to not sleep a wink	phrase
ικανοποιημένος, -η, -ο	satisfied	adjective
η φασαρία ≠ η ησυχία	commotion / noise ≠ quiet	noun
