Word	Translation
η άδεια	отпуск
η άνεση	комфорт
το αξιοθέατο	достопримечательность
το δεκαήμερο	десять дней
το δεκαπενθήμερο	пятнадцать дней
ο Δεκαπενταύγουστος	Успение
η διαμονή	проживание
η διασκέδαση	развлечение
το δρομολόγιο	расписание
η προσφορά	предложение
η κρουαζιέρα	круиз
η βαλίτσα	чемодан
η πτήση	рейс
η αναχώρηση	отправление
η άφιξη	прибытие
η καθυστέρηση	задержка
το εισιτήριο	билет
η φασαρία	шум
η ησυχία	тишина
το κάμπινγκ	кемпинг
η σκηνή	палатка
το καταφύγιο	приют
η πανσιόν	пансион
το ξενοδοχείο	отель
η κράτηση	бронь
ο τουριστικός οδηγός	путеводитель
