Word	Translation
η ανακύκλωση	переработка
το περιβάλλον	окружающая среда
ο θερμοσίφωνας	водонагреватель
ο κάδος	контейнер
το σκοτάδι	темнота
η συγκοινωνία	транспорт
η συνήθεια	привычка
η ευκαιρία	возможность
η νοοτροπία	менталитет
το ρεύμα	электричество
η τεχνολογία	технология
το χαρτί	бумага
το αλουμίνιο	алюминий
το σίδερο	железо
το γυαλί	стекло
το πλαστικό	пластик
ο λογαριασμός	счёт
η βενζίνη	бензин
το κλιματιστικό	кондиционер
ο πλανήτης	планета
το κλίμα	климат
η εφημερίδα	газета
η γειτονιά	район
η συσκευή	прибор
το φως	свет
το νερό	вода
το πρόβλημα	проблема
η ρύπανση	загрязнение
η μόλυνση	заражение
ο οικολόγος	эколог
η προστασία	защита
το δάσος	лес
το σκουπίδι	мусор
το μέσο	средство
η μεταφορά	транспорт
