Word	Translation
Αμάν!	О нет!
Πώς είναι δυνατόν;	Как такое возможно?!
Ξέρω 'γώ;	Откуда мне знать?
Αλλά βέβαια...	Ну конечно же...
Ε, καλά τώρα.	Ну ладно уж.
Όπως και να 'χει...	Как бы то ни было...
Δεν πάει άλλο.	Так больше не может продолжаться.
Δε βγαίνουμε οικονομικά.	Мы не сводим концы с концами.
Εμένα μου το λες;	Кому ты это говоришь?
Εγώ που χαλάω ένα σωρό λεφτά;	Это я-то, которая тратит кучу денег?
Έτσι όπως πάμε...	Если так пойдёт и дальше...
Άσε που...	Не говоря уже о том, что...
Σωστό κι αυτό.	И то верно.
Να μη σου πω ότι...	Не буду даже говорить, что...
Μια χαρά!	Ну просто прекрасно! (иронично)
Δε μου λες...	Скажи-ка...
Από εμάς εξαρτάται.	Это зависит от нас.
Κι όμως.	И тем не менее.
Ωραίο ακούγεται όλο αυτό.	Всё это звучит замечательно.
Τι λέτε, ρε παιδιά;	Что скажете, ребята?
