Word	Translation
Αμάν!	Oh no!
Πώς είναι δυνατόν;	How is that possible?!
Ξέρω 'γώ;	How should I know?
Αλλά βέβαια...	But of course...
Ε, καλά τώρα.	Well, OK then.
Όπως και να 'χει...	Whatever the case...
Δεν πάει άλλο.	It can't go on like this.
Δε βγαίνουμε οικονομικά.	We're not breaking even financially.
Εμένα μου το λες;	You're telling me?
Εγώ που χαλάω ένα σωρό λεφτά;	Me, who spends a ton of money?
Έτσι όπως πάμε...	The way things are going...
Άσε που...	Not to mention that...
Σωστό κι αυτό.	That's true too.
Να μη σου πω ότι...	I won't even say that...
Μια χαρά!	Just great! (ironic)
Δε μου λες...	Tell me...
Από εμάς εξαρτάται.	It depends on us.
Κι όμως.	And yet.
Ωραίο ακούγεται όλο αυτό.	All that sounds nice.
Τι λέτε, ρε παιδιά;	What are you saying, guys?
κάνω οικονομία	to economize / save money
