Word	Translation	Type
η ανακύκλωση	recycling	noun
ο θερμοσίφωνας	water heater	noun
ο κάδος	bin	noun
το περιβάλλον	environment	noun
το σκοτάδι	darkness	noun
η συγκοινωνία	public transport	noun
η συνήθεια	habit	noun
η ευκαιρία	opportunity	noun
η νοοτροπία	mindset	noun
το ρεύμα	electricity	noun
η τεχνολογία	technology	noun
το χαρτί	paper	noun
το αλουμίνιο	aluminum	noun
το σίδερο	iron	noun
το γυαλί	glass	noun
το πλαστικό	plastic	noun
ανακυκλώνω	to recycle	verb
κάνω οικονομία	to economize / save money	phrase
σβήνω	to turn off / extinguish	verb
σώζω	to save	verb
οικολογικός, -ή, -ό	ecological	adjective
συνεχής, -ής, -ές	continuous	adjective
σημαντικός, -ή, -ό	important	adjective
συμβολικός, -ή, -ό	symbolic	adjective
