Word	Translation
η ανακύκλωση	recycling
το περιβάλλον	environment
ο θερμοσίφωνας	water heater
ο κάδος	bin
το σκοτάδι	darkness
η συγκοινωνία	public transport
η συνήθεια	habit
η ευκαιρία	opportunity
η νοοτροπία	mindset
το ρεύμα	electricity
η τεχνολογία	technology
το χαρτί	paper
το αλουμίνιο	aluminum
το σίδερο	iron
το γυαλί	glass
το πλαστικό	plastic
ο λογαριασμός	bill
η βενζίνη	gasoline
το κλιματιστικό	air conditioner
ο πλανήτης	planet
το κλίμα	climate
η εφημερίδα	newspaper
η γειτονιά	neighborhood
η συσκευή	appliance / device
το φως	light
το νερό	water
το πρόβλημα	problem
η ρύπανση	pollution
η μόλυνση	pollution / infection
ο οικολόγος	ecologist
η προστασία	protection
το δάσος	forest
το σκουπίδι	trash
το μέσο	means / medium
η μεταφορά	transport / transfer
