form	lemma	pos	context	meaning
ἦμος	ἦμος	conj	IX.152: ἦμος δ' ἠριγένεια φάνη	когда, в то время как (гомеровский союз, соответствующий аттическому ὅτε)
ἠριγένεια	ἠριγένεια	adj	IX.152: δ' ἠριγένεια φάνη ῥοδοδάκτυλος	им. п. ед. ч. жен. рода — рано рождающаяся, рождающаяся на заре (постоянный эпитет Эос)
φάνη	φαίνω	verb	IX.152: ἠριγένεια φάνη ῥοδοδάκτυλος Ἠώς	3 л. ед. ч. пасс. аориста — явилась, появилась
ῥοδοδάκτυλος	ῥοδοδάκτυλος	adj	IX.152: φάνη ῥοδοδάκτυλος Ἠώς,	им. п. ед. ч. жен. рода — розоперстая (самый известный эпитет Эос)
θαυμάζοντες	θαυμάζω	verb	IX.153: νῆσον θαυμάζοντες ἐδινεόμεσθα	причастие акт. презенса, им. п. мн. ч. муж. рода — удивляясь, любуясь
ἐδινεόμεσθα	δινέω	verb	IX.153: θαυμάζοντες ἐδινεόμεσθα κατ' αὐτήν	1 л. мн. ч. медиального имперфекта от δινέω крутить — бродили, кружили
ὦρσαν	ὄρνυμι	verb	IX.154: ὦρσαν δὲ νύμφαι κοῦραι	3 л. мн. ч. активного аориста — подняли, вспугнули
κοῦραι	κούρη	noun	IX.154: νύμφαι κοῦραι Διὸς αἰγιόχοιο	им. п. мн. ч. — дочери, девы
αἰγιόχοιο	αἰγίοχος	adj	IX.154: κοῦραι Διὸς αἰγιόχοιο	гомеровский род. п. ед. ч. — эгидодержавного, носящего эгиду (αἰγίς — эгида + ἔχω — держать)
αἶγας	αἴξ	noun	IX.155: αἶγας ὀρεσκώιους, ἵνα	вин. п. мн. ч. — коз
ὀρεσκώιους	ὀρεσκῷος	adj	IX.155: αἶγας ὀρεσκώιους, ἵνα δειπνήσειαν	вин. п. мн. ч. жен. рода — горных, диких
ἵνα	ἵνα	conj	IX.155: αἶγας ὀρεσκώιους, ἵνα δειπνήσειαν	чтобы
δειπνήσειαν	δειπνέω	verb	IX.155: ἵνα δειπνήσειαν ἑταῖροι	3 л. мн. ч. активного аориста оптатива — поели, устроили трапезу
ἑταῖροι	ἑταῖρος	noun	IX.155: δειπνήσειαν ἑταῖροι	им. п. мн. ч. — спутники, товарищи
αὐτίκα	αὐτίκα	adv	IX.156: αὐτίκα καμπύλα τόξα	тотчас, сразу
καμπύλα	καμπύλος	adj	IX.156: αὐτίκα καμπύλα τόξα καὶ	вин. п. мн. ч. ср. рода — изогнутые
τόξα	τόξον	noun	IX.156: καμπύλα τόξα καὶ αἰγανέας	вин. п. мн. ч. — луки
αἰγανέας	αἰγανέη	noun	IX.156: τόξα καὶ αἰγανέας δολιχαύλους	вин. п. мн. ч. — копья (гомеровская лексика, в аттическом δόρυ)
δολιχαύλους	δολίχαυλος	adj	IX.156: αἰγανέας δολιχαύλους	вин. п. мн. ч. — с длинным древком (пост. эпитет копья)
εἱλόμεθ'	αἱρέω	verb	IX.157: εἱλόμεθ' ἐκ νηῶν, διὰ	1 л. мн. ч. медиал. аориста индикатива (= εἱλόμεθα) — взяли
νηῶν	ναῦς	noun	IX.157: εἱλόμεθ' ἐκ νηῶν, διὰ δὲ	род. п. мн. ч. — кораблей
τρίχα	τρίχα	adv	IX.157: διὰ δὲ τρίχα κοσμηθέντες	на три части
κοσμηθέντες	κοσμέω	verb	IX.157: τρίχα κοσμηθέντες	причастие пассивного аориста, им. п. мн. ч. муж. рода — построившись, разделившись, распределившись
βάλλομεν	βάλλω	verb	IX.158: βάλλομεν· αἶψα δ' ἔδωκε	1 л. мн. ч. активного имперфекта — стали метать, бросать
αἶψα	αἶψα	adv	IX.158: αἶψα δ' ἔδωκε θεὸς	быстро, тотчас
ἔδωκε	δίδωμι	verb	IX.158: αἶψα δ' ἔδωκε θεὸς μενοεικέα	3 л. ед. ч. активного аориста — дал
μενοεικέα	μενοεικής	adj	IX.158: ἔδωκε θεὸς μενοεικέα θήρην	вин. п. ед. ч. — достаточную, подходящую запросам (о еде и питье)
θήρην	θήρη	noun	IX.158: μενοεικέα θήρην	вин. п. ед. ч. — добычу, охоту
ἕποντο	ἕπομαι	verb	IX.159: νῆες μέν μοι ἕποντο δυώδεκα	3 л. мн. ч. имперфекта — следовали
δυώδεκα	δυώδεκα	num	IX.159: μοι ἕποντο δυώδεκα, ἐς	двенадцать
ἐς	ἐς	prep	IX.159: δυώδεκα, ἐς δὲ ἑκάστην	на + вин.п.
ἑκάστην	ἕκαστος	pronoun	IX.159: ἐς δὲ ἑκάστην	вин. п. ед. ч. жен. рода — каждый (корабль)
ἐννέα	ἐννέα	num	IX.160: ἐννέα λάγχανον αἶγες	девять
λάγχανον	λαγχάνω	verb	IX.160: ἐννέα λάγχανον αἶγες	3 л. мн. ч. активного имперфекта — получали по жребию, выпадало
αἶγες	αἴξ	noun	IX.160: λάγχανον αἶγες· ἐμοὶ δὲ	им. п. мн. ч. — коз
δέκ'	δέκα	num	IX.160: ἐμοὶ δὲ δέκ' ἔξελον οἴῳ	(= δέκα) — десять
ἔξελον	ἐξαιρέω	verb	IX.160: δέκ' ἔξελον οἴῳ	1 л. мн. ч. активного аориста — взял, выделил
οἴῳ	οἶος	pronoun	IX.160: ἔξελον οἴῳ	дат. п. ед. ч. муж. рода — одному, единственному
ὣς	ὥς	adv	IX.161: ὣς τότε μὲν πρόπαν ἦμαρ	так, таким образом
τότε	τότε	adv	IX.161: ὣς τότε μὲν πρόπαν	тогда
πρόπαν	πρόπας	adj	IX.161: τότε μὲν πρόπαν ἦμαρ	вин. п. ед. ч. ср. рода — весь, целый
ἦμαρ	ἦμαρ	noun	IX.161: πρόπαν ἦμαρ ἐς ἠέλιον	вин. п. ед. ч. — день (гомеровская лексика — ср. аттическое ἡμέρα)
ἠέλιον	ἠέλιος	noun	IX.161: ἦμαρ ἐς ἠέλιον καταδύντα	вин. п. ед. ч. — солнце (гомеровское растяжение в начале слова)
καταδύντα	καταδύω	verb	IX.161: ἐς ἠέλιον καταδύντα	причастие активного аориста, вин. п. ед. ч. муж. рода — зашедшего
ἥμεθα	ἧμαι	verb	IX.162: ἥμεθα δαινύμενοι κρέα	1 л. мн. ч. имперфекта — сидели
δαινύμενοι	δαίνυμαι	verb	IX.162: ἥμεθα δαινύμενοι κρέα τ'	причастие медиал. презенса, им. п. мн. ч. муж. рода — пируя, вкушая пищу
κρέα	κρέας	noun	IX.162: δαινύμενοι κρέα τ' ἄσπετα	вин. п. мн. ч. — мяса
ἄσπετα	ἄσπετος	adj	IX.162: κρέα τ' ἄσπετα καὶ μέθυ	вин. п. мн. ч. ср. рода — несказанные, бесчисленные
