lemma	form	stanza_ref	translator	reflected
ἀνήρ	Ἄνδρα	I.1–5	Жуковский	yes
ἀνήρ	Ἄνδρα	I.1–5	Вересаев	yes
γιγνώσκω	ἔγνω	I.1–5	Жуковский	yes
γιγνώσκω	ἔγνω	I.1–5	Вересаев	yes
ἵημι	ἱέμενός	I.6–10	Жуковский	yes
ἵημι	ἱέμενός	I.6–10	Вересаев	yes
θεός	θεά	I.6–10	Жуковский	yes
θεός	θεά	I.6–10	Вересаев	yes
Ζεύς	Διός	I.6–10	Жуковский	yes
Ζεύς	Διός	I.6–10	Вересаев	no
εἰμί	εἶναι	I.11–15	Жуковский	yes
εἰμί	εἶναι	I.11–15	Вересаев	yes
ἔτος	ἔτος	I.16–21	Жуковский	yes
ἔτος	ἔτος	I.16–21	Вересаев	yes
θεός	θεοὶ	I.16–21	Жуковский	yes
θεός	θεοὶ	I.16–21	Вересаев	yes
ἄνθρωπος	ἀνθρώπων	I.1–5	Жуковский	yes
ἄνθρωπος	ἀνθρώπων	I.1–5	Вересаев	yes
πόντος	πόντῳ	I.1–5	Жуковский	yes
πόντος	πόντῳ	I.1–5	Вересаев	yes
ἦμαρ	ἦμαρ	I.6–10	Жуковский	yes
ἦμαρ	ἦμαρ	I.6–10	Вересаев	yes
θυγάτηρ	θύγατερ	I.6–10	Жуковский	yes
θυγάτηρ	θύγατερ	I.6–10	Вересаев	no
ὄλεθρος	ὄλεθρον	I.11–15	Жуковский	yes
ὄλεθρος	ὄλεθρον	I.11–15	Вересаев	yes
γυνή	γυναικὸς	I.11–15	Жуковский	yes
γυνή	γυναικὸς	I.11–15	Вересаев	yes
νύμφη	νύμφη	I.11–15	Жуковский	yes
νύμφη	νύμφη	I.11–15	Вересаев	yes
σπέος	σπέσσι	I.11–15	Жуковский	yes
σπέος	σπέσσι	I.11–15	Вересаев	yes
ἄστυ	ἄστεα	I.1–5	Жуковский	yes
ἄστυ	ἄστεα	I.1–5	Вересаев	yes
ψυχή	ψυχήν	I.1–5	Жуковский	yes
ψυχή	ψυχήν	I.1–5	Вересаев	yes
πλάζω	πλάγχθη	I.1–5	Жуковский	yes
πλάζω	πλάγχθη	I.1–5	Вересаев	yes
ὁράω	ἴδεν	I.1–5	Жуковский	yes
ὁράω	ἴδεν	I.1–5	Вересаев	yes
πάσχω	πάθεν	I.1–5	Жуковский	yes
πάσχω	πάθεν	I.1–5	Вересаев	yes
ἀπόλλυμι	ὄλοντο	I.6–10	Жуковский	yes
ἀπόλλυμι	ὄλοντο	I.6–10	Вересаев	yes
φεύγω	φύγον	I.11–15	Жуковский	yes
φεύγω	φύγον	I.11–15	Вересаев	yes
ἐπικλώθω	ἐπεκλώσαντο	I.16–21	Жуковский	yes
ἐπικλώθω	ἐπεκλώσαντο	I.16–21	Вересаев	yes
ἱκνέομαι	ἱκέσθαι	I.16–21	Жуковский	yes
ἱκνέομαι	ἱκέσθαι	I.16–21	Вересаев	yes
ἐνέπω	ἔννεπε	I.1–5	Жуковский	yes
ἐνέπω	ἔννεπε	I.1–5	Вересаев	yes
πολύτροπος	πολύτροπον	I.1–5	Жуковский	yes
πολύτροπος	πολύτροπον	I.1–5	Вересаев	yes
ἱερός	ἱερόν	I.1–5	Жуковский	yes
ἱερός	ἱερόν	I.1–5	Вересаев	yes
πτολίεθρον	πτολίεθρον	I.1–5	Жуковский	yes
πτολίεθρον	πτολίεθρον	I.1–5	Вересаев	yes
νοῦς	νόον	I.1–5	Жуковский	yes
νοῦς	νόον	I.1–5	Вересаев	yes
ἄλγος	ἄλγεα	I.1–5	Жуковский	yes
ἄλγος	ἄλγεα	I.1–5	Вересаев	yes
θυμός	θυμόν	I.1–5	Жуковский	yes
θυμός	θυμόν	I.1–5	Вересаев	yes
νόστος	νόστον	I.1–5	Жуковский	yes
νόστος	νόστον	I.1–5	Вересаев	yes
ἑταῖρος	ἑταίρων	I.1–5	Жуковский	yes
ἑταῖρος	ἑταίρων	I.1–5	Вересаев	yes
ἑταῖρος	ἑτάρους	I.6–10	Жуковский	yes
ἑταῖρος	ἑτάρους	I.6–10	Вересаев	yes
ἄρνυμαι	ἀρνύμενος	I.1–5	Жуковский	yes
ἄρνυμαι	ἀρνύμενος	I.1–5	Вересаев	yes
ῥύομαι	ἐρρύσατο	I.6–10	Жуковский	yes
ῥύομαι	ἐρρύσατο	I.6–10	Вересаев	yes
ἀτασθαλία	ἀτασθαλίῃσιν	I.6–10	Жуковский	yes
ἀτασθαλία	ἀτασθαλίῃσιν	I.6–10	Вересаев	yes
νήπιος	νήπιοι	I.6–10	Жуковский	yes
νήπιος	νήπιοι	I.6–10	Вересаев	yes
βοῦς	βοῦς	I.6–10	Жуковский	yes
βοῦς	βοῦς	I.6–10	Вересаев	yes
ἀφαιρέω	ἀφείλετο	I.6–10	Жуковский	yes
ἀφαιρέω	ἀφείλετο	I.6–10	Вересаев	yes
νόστιμος	νόστιμον	I.6–10	Жуковский	yes
νόστιμος	νόστιμον	I.6–10	Вересаев	yes
αἰπύς	αἰπύν	I.11–15	Жуковский	no
αἰπύς	αἰπύν	I.11–15	Вересаев	no
πόλεμος	πόλεμον	I.11–15	Жуковский	yes
πόλεμος	πόλεμον	I.11–15	Вересаев	yes
χράομαι	κεχρημένον	I.11–15	Жуковский	yes
χράομαι	κεχρημένον	I.11–15	Вересаев	yes
ἐρύκω	ἔρυκε	I.11–15	Жуковский	yes
ἐρύκω	ἔρυκε	I.11–15	Вересаев	yes
θεά	θεάων	I.11–15	Жуковский	yes
θεά	θεάων	I.11–15	Вересаев	yes
γλαφυρός	γλαφυροῖσι	I.11–15	Жуковский	yes
γλαφυρός	γλαφυροῖσι	I.11–15	Вересаев	yes
λιλαίομαι	λιλαιομένη	I.11–15	Жуковский	yes
λιλαίομαι	λιλαιομένη	I.11–15	Вересаев	yes
πόσις	πόσιν	I.11–15	Жуковский	yes
πόσις	πόσιν	I.11–15	Вересаев	yes
ἔρχομαι	ἦλθε	I.16–21	Жуковский	yes
ἔρχομαι	ἦλθε	I.16–21	Вересаев	yes
περιπέλομαι	περιπλομένων	I.16–21	Жуковский	yes
περιπέλομαι	περιπλομένων	I.16–21	Вересаев	yes
ἐνιαυτός	ἐνιαυτῶν	I.16–21	Жуковский	yes
ἐνιαυτός	ἐνιαυτῶν	I.16–21	Вересаев	yes
νέομαι	νέεσθαι	I.16–21	Жуковский	yes
νέομαι	νέεσθαι	I.16–21	Вересаев	yes
ἄεθλος	ἀέθλων	I.16–21	Жуковский	yes
ἄεθλος	ἀέθλων	I.16–21	Вересаев	yes
φίλος	φίλοισι	I.16–21	Жуковский	yes
φίλος	φίλοισι	I.16–21	Вересаев	yes
ἐλεαίρω	ἐλέαιρον	I.16–21	Жуковский	yes
ἐλεαίρω	ἐλέαιρον	I.16–21	Вересаев	yes
μενεαίνω	μενέαινεν	I.16–21	Жуковский	yes
μενεαίνω	μενέαινεν	I.16–21	Вересаев	yes
ἀντίθεος	ἀντιθέῳ	I.16–21	Жуковский	yes
ἀντίθεος	ἀντιθέῳ	I.16–21	Вересаев	no
γαῖα	γαῖαν	I.16–21	Жуковский	yes
γαῖα	γαῖαν	I.16–21	Вересаев	yes
μοῦσα	μοῦσα	I.1–5	Жуковский	yes
μοῦσα	μοῦσα	I.1–5	Вересаев	yes
μάλα	μάλα	I.1–5	Жуковский	no
μάλα	μάλα	I.1–5	Вересаев	no
πολύς	πολλὰ	I.1–5	Жуковский	yes
πολύς	πολλὰ	I.1–5	Вересаев	yes
Τροία	Τροίης	I.1–5	Жуковский	yes
Τροία	Τροίης	I.1–5	Вересаев	yes
πολύς	πολλῶν	I.1–5	Жуковский	yes
πολύς	πολλῶν	I.1–5	Вересаев	yes
Ὑπερίων	Ὑπερίονος	I.6–10	Жуковский	no
Ὑπερίων	Ὑπερίονος	I.6–10	Вересаев	yes
Ἥλιος	Ἠελίοιο	I.6–10	Жуковский	yes
Ἥλιος	Ἠελίοιο	I.6–10	Вересаев	yes
ἁμόθεν	ἁμόθεν	I.6–10	Жуковский	no
ἁμόθεν	ἁμόθεν	I.6–10	Вересаев	yes
λέγω	εἰπὲ	I.6–10	Жуковский	yes
λέγω	εἰπὲ	I.6–10	Вересаев	yes
ἔνθα	Ἔνθ᾽	I.11–15	Жуковский	yes
