lemma	form	stanza_ref	translator	reflected
βγαίνω	βγεις	Ιθάκη, στ. 1–3	Ильинская	yes
βγαίνω	βγεις	Ιθάκη, στ. 1–3	Левитов	yes
βγαίνω	βγεις	Ιθάκη, στ. 1–3	Шмаков/Бродский	yes
πηγαιμός	πηγαιμό	Ιθάκη, στ. 1–3	Левитов	yes
Ιθάκη	Ιθάκη	Ιθάκη, στ. 1–3	Ильинская	yes
Ιθάκη	Ιθάκη	Ιθάκη, στ. 1–3	Левитов	yes
Ιθάκη	Ιθάκη	Ιθάκη, στ. 1–3	Шмаков/Бродский	yes
εύχομαι	εύχεσαι	Ιθάκη, στ. 1–3	Ильинская	yes
εύχομαι	εύχεσαι	Ιθάκη, στ. 1–3	Левитов	yes
εύχομαι	εύχεσαι	Ιθάκη, στ. 1–3	Шмаков/Бродский	yes
μακρύς	μακρύς	Ιθάκη, στ. 1–3	Ильинская	yes
μακρύς	μακρύς	Ιθάκη, στ. 1–3	Левитов	yes
μακρύς	μακρύς	Ιθάκη, στ. 1–3	Шмаков/Бродский	yes
δρόμος	δρόμος	Ιθάκη, στ. 1–3	Ильинская	yes
δρόμος	δρόμος	Ιθάκη, στ. 1–3	Шмаков/Бродский	yes
γεμάτος	γεμάτος	Ιθάκη, στ. 1–3	Ильинская	no
γεμάτος	γεμάτος	Ιθάκη, στ. 1–3	Левитов	yes
γεμάτος	γεμάτος	Ιθάκη, στ. 1–3	Шмаков/Бродский	yes
περιπέτεια	περιπέτειες	Ιθάκη, στ. 1–3	Ильинская	yes
περιπέτεια	περιπέτειες	Ιθάκη, στ. 1–3	Левитов	yes
περιπέτεια	περιπέτειες	Ιθάκη, στ. 1–3	Шмаков/Бродский	yes
γνώση	γνώσεις	Ιθάκη, στ. 1–3	Ильинская	yes
γνώση	γνώσεις	Ιθάκη, στ. 1–3	Левитов	no
γνώση	γνώσεις	Ιθάκη, στ. 1–3	Шмаков/Бродский	no
πηγαιμός	πηγαιμό	Ιθάκη, στ. 1–3	Шмаков/Бродский	
πηγαιμός	πηγαιμό	Ιθάκη, στ. 1–3	Ильинская	
δρόμος	δρόμος	Ιθάκη, στ. 1–3	Левитов	
