lemma	form	stanza_ref	translator	reflected
δόλος	δόλοισιν	IX.19–24	Жуковский	yes
δόλος	δόλοισιν	IX.19–24	Вересаев	yes
ἄνθρωπος	ἀνθρώποισι	IX.19–24	Жуковский	no
ἄνθρωπος	ἀνθρώποισι	IX.19–24	Вересаев	yes
κλέος	κλέος	IX.19–24	Жуковский	yes
κλέος	κλέος	IX.19–24	Вересаев	yes
οὐρανός	οὐρανόν	IX.19–24	Жуковский	yes
οὐρανός	οὐρανόν	IX.19–24	Вересаев	yes
ὄρος	ὄρος	IX.19–24	Жуковский	yes
ὄρος	ὄρος	IX.19–24	Вересаев	yes
νῆσος	νῆσοι	IX.19–24	Жуковский	yes
νῆσος	νῆσοι	IX.19–24	Вересаев	yes
ζόφος	ζόφον	IX.25–28	Жуковский	yes
ζόφος	ζόφον	IX.25–28	Вересаев	yes
ἀγαθός	ἀγαθή	IX.25–28	Жуковский	no
ἀγαθός	ἀγαθή	IX.25–28	Вересаев	no
γαῖα	γαίης	IX.25–28	Жуковский	yes
γαῖα	γαίης	IX.25–28	Вересаев	yes
δύναμαι	δύναμαι	IX.25–28	Жуковский	no
δύναμαι	δύναμαι	IX.25–28	Вересаев	no
ἐρύκω	ἔρυκε	IX.29–33	Жуковский	yes
ἐρύκω	ἔρυκε	IX.29–33	Вересаев	yes
θεά	θεάων	IX.29–33	Жуковский	yes
θεά	θεάων	IX.29–33	Вересаев	no
σπέος	σπέσσι	IX.29–33	Жуковский	no
σπέος	σπέσσι	IX.29–33	Вересаев	yes
γλαφυρός	γλαφυροῖσι	IX.29–33	Жуковский	no
γλαφυρός	γλαφυροῖσι	IX.29–33	Вересаев	yes
θυμός	θυμόν	IX.29–33	Жуковский	yes
θυμός	θυμόν	IX.29–33	Вересаев	yes
πατρίς	πατρίδος	IX.34–38	Жуковский	yes
πατρίς	πατρίδος	IX.34–38	Вересаев	yes
τοκεύς	τοκήων	IX.34–38	Жуковский	yes
τοκεύς	τοκήων	IX.34–38	Вересаев	no
νόστος	νόστον	IX.34–38	Жуковский	no
νόστος	νόστον	IX.34–38	Вересаев	yes
εἰμί	εἴμ᾽	IX.19–24	Жуковский	yes
εἰμί	εἴμ᾽	IX.19–24	Вересаев	yes
μέλω	μέλω	IX.19–24	Жуковский	yes
μέλω	μέλω	IX.19–24	Вересаев	yes
ἱκνέομαι	ἵκει	IX.19–24	Жуковский	yes
ἱκνέομαι	ἵκει	IX.19–24	Вересаев	yes
ναιετάω	ναιετάω	IX.19–24	Жуковский	yes
ναιετάω	ναιετάω	IX.19–24	Вересаев	yes
εὐδείελος	εὐδείελον	IX.19–24	Жуковский	yes
εὐδείελος	εὐδείελον	IX.19–24	Вересаев	yes
εἰνοσίφυλλος	εἰνοσίφυλλον	IX.19–24	Жуковский	no
εἰνοσίφυλλος	εἰνοσίφυλλον	IX.19–24	Вересаев	yes
ἀριπρεπής	ἀριπρεπές	IX.19–24	Жуковский	yes
