Word	Translation
το κατάστημα	магазин
ο πωλητής	продавец
η πελάτισσα	покупательница
η απόδειξη	чек / квитанция
η τιμή	цена
το νούμερο	размер
το παπούτσι	ботинок / туфля
η φούστα	юбка
το σακάκι	пиджак / куртка
το παντελόνι	брюки
η μπλούζα	блузка
η γραβάτα	галстук
η βιτρίνα	витрина
το ταμείο	касса
το παράπονο	жалоба
τα ψώνια	покупки
η αλλαγή	обмен / сдача
η οδηγία	инструкция / указание
το πολυκατάστημα	универмаг
το ρούχο	одежда
το χρώμα	цвет
η έκπτωση	скидка
η δόση	взнос / рассрочка
η επιλογή	выбор
η ποιότητα	качество
