Word	Translation
το κατάστημα	store, shop
ο πωλητής	seller, salesman/saleswoman
η πελάτισσα	customer (f)
η απόδειξη	proof, receipt
η τιμή	price
το νούμερο	number
το παπούτσι	shoe
η φούστα	skirt
το σακάκι	jacket, blazer
το παντελόνι	trousers (a pair of), pants; trousers (a pair of ), pants
η μπλούζα	shirt
η γραβάτα	tie
η βιτρίνα	shop window
το ταμείο	cash register
το παράπονο	complaint
τα ψώνια	shopping
η αλλαγή	change
η οδηγία	instruction, direction
το πολυκατάστημα	department store
το ρούχο	clothing, piece of clothing
το χρώμα	color
η έκπτωση	discount
η δόση	installment
η επιλογή	choice, option
η ποιότητα	quality
