Word	Translation
Να βοηθήσω;	Вам помочь?
Κάνατε πολύ καλή επιλογή.	Вы сделали очень хороший выбор.
Εξαρτάται.	Зависит от обстоятельств.
Πώς σας φαίνεται;	Как вам кажется?
Δε με τρελαίνει.	Меня это не восхищает.
Μα τι λέτε;	Да что вы такое говорите?!
Ευχαρίστως.	С удовольствием.
Για εσάς θα κάνουμε καλύτερη τιμή.	Для вас мы сделаем цену получше.
Πανάκριβα είναι!	Это же безумно дорого!
Εδώ που φτάσαμε...	Раз уж мы дошли до этого...
Α πα πα πα!	Ай-яй-яй!
Ούτε να ακούω δε θέλω...	Я даже слышать об этом не хочу...
Μετρητά και πάλι μετρητά.	Только наличные, и никак иначе.
Κρατήστε εκατό ευρώ.	Возьмите сто евро.
Θα μείνετε ικανοποιημένη.	Вы останетесь довольны.
Με γεια σας.	Носите на здоровье!
Σε χάσαμε.	Мы тебя совсем не видим.
Πες μου τώρα ότι έχεις και παράπονο!	Только не говори мне, что ты ещё и жалуешься!
Καλά, μια κουβέντα είπα. Για να σε πειράξω.	Ладно, это я так, просто пошутил(а).
Άσε τι έπαθα σήμερα.	Ты не представляешь, что со мной сегодня случилось.
Τι κάνει αυτή η ψυχή;	Как там эта душенька поживает?
Περνάει ζωή και κότα, ε;	Живёт как у Христа за пазухой, да?
Και μη χειρότερα!	Могло быть и хуже!
Άσ' τα, μην τα συζητάς καλύτερα.	Да ладно, лучше не будем это обсуждать.
Μου έφυγαν τριάντα ευρώ.	Я лишился(-лась) тридцати евро.
Σε χαιρετώ.	Ну, пока.
Τρέχω να προλάβω.	Бегу, чтобы успеть.
Καλές δουλειές.	Удачи с делами.
Μπάι!	Пока!
Για να το δω λίγο.	Дайте-ка я посмотрю.
Ακολουθήσατε πιστά τις οδηγίες;	Вы точно следовали инструкции?
Εννοείται!	Конечно!
Ασφαλώς.	Разумеется.
Αλίμονο!	Да что вы! (в ответ на благодарность)
Τη δουλειά μου κάνω.	Я просто делаю свою работу.
