Word	Translation
ακριβός	дорогой
φτηνός	дешёвый
πανάκριβος	очень дорогой
ελαττωματικός	бракованный / дефектный
φαρδύς	широкий, свободный (об одежде)
στενός	узкий / тесный
μακρύς	длинный
κοντός	короткий
βαθύς	глубокий
καφετής	коричневый
πορτοκαλής	оранжевый
βυσσινής	бордовый / вишнёвый
θαλασσής	морской / голубой
χρυσαφής	золотистый
κανελής	коричный
σοκολατής	шоколадный
σταχτής	пепельный
παχύς	толстый (нейтральное)
ελαφρύς	лёгкий
βαρύς	тяжёлый
πλατύς	широкий (в общем смысле)
ψηλός	высокий
χοντρός	толстый, полный (разговорное)
λεπτός	худой / стройный
αδύνατος	худой / слабый
μονόχρωμος	однотонный
ικανοποιημένος	довольный
βιαστικός	спешащий
εξυπηρετικός	услужливый
