Word	Translation
Να βοηθήσω;	Can I help (you)?
Κάνατε πολύ καλή επιλογή.	You made a very good choice.
Εξαρτάται.	It depends.
Πώς σας φαίνεται;	How does it seem to you?
Δε με τρελαίνει.	I'm not crazy about it.
Μα τι λέτε;	But what are you saying?!
Ευχαρίστως.	Gladly.
Για εσάς θα κάνουμε καλύτερη τιμή.	For you we'll make a better price.
Πανάκριβα είναι!	They're way too expensive!
Εδώ που φτάσαμε...	Given where things stand now...
Α πα πα πα!	Oh no no no!
Ούτε να ακούω δε θέλω...	I don't even want to hear about it...
Μετρητά και πάλι μετρητά.	Cash, and only cash.
Κρατήστε εκατό ευρώ.	Take a hundred euros.
Θα μείνετε ικανοποιημένη.	You'll be satisfied.
Με γεια σας.	Wear it in good health!
Σε χάσαμε.	We haven't seen you around.
Πες μου τώρα ότι έχεις και παράπονο!	Now don't tell me you're complaining too!
Καλά, μια κουβέντα είπα. Για να σε πειράξω.	Fine, it was just a comment. To tease you.
Άσε τι έπαθα σήμερα.	Don't even ask what happened to me today.
Τι κάνει αυτή η ψυχή;	How's the dear thing doing? (asking about a pet)
Περνάει ζωή και κότα, ε;	Living the good life, huh?
Και μη χειρότερα!	Could've been worse!
Άσ' τα, μην τα συζητάς καλύτερα.	Never mind, better not talk about it.
Μου έφυγαν τριάντα ευρώ.	I'm thirty euros lighter.
Σε χαιρετώ.	I'll say bye then.
Τρέχω να προλάβω.	I'm rushing off to make it in time.
Καλές δουλειές.	Good luck with your errands.
Μπάι!	Bye!
Για να το δω λίγο.	Let me have a look at it.
Ακολουθήσατε πιστά τις οδηγίες;	Did you follow the instructions exactly?
Εννοείται!	Of course!
Ασφαλώς.	Certainly.
Αλίμονο!	Not at all! (deflecting thanks)
Τη δουλειά μου κάνω.	I'm just doing my job.
