Word	Translation
Παρακαλώ.	Hello? (answering)
Λέγετε;	Yes? / Go ahead? (answering)
Έλα, Αρλέτα.	Hi, Arleta.
Μπορώ να μιλήσω με την κυρία...;	Can I speak with Mrs. ...?
Ποιος τη ζητάει;	Who's asking for her?
Μισό λεπτό να τη φωνάξω.	One moment, I'll get her.
Συγνώμη που σε ενοχλώ...	Sorry to bother you...
Δεν υπάρχει πρόβλημα.	No problem.
Το γιορτάζουμε.	We're celebrating it.
Ευχαριστώ για την πρόσκληση.	Thanks for the invitation.
Πες μου.	Tell me.
Κοίτα.	Look...
Εμπρός;	Hello? (answering)
Τη Σοφία θα ήθελα, παρακαλώ.	I'd like [to speak to] Sofia, please.
Λάθος πήρατε.	You have the wrong number.
Έλα. Πού βρίσκεσαι;	Hey. Where are you?
Τι κανονίζεις;	What are you arranging?
Μια χαρά!	Great! / Just fine!
Τα λέμε πάλι.	Talk to you again.
Καλέσατε το 210 7282537. Αφήστε το μήνυμά σας.	You've reached 210 7282537. Leave your message.
Θα επικοινωνήσω μαζί σας το συντομότερο δυνατόν.	I will contact you as soon as possible.
Θα σε ξαναπάρω το βράδυ.	I'll call you back tonight.
Τα έμαθες; Θα γίνει χαμός!	Did you hear the news? It's going to be wild!
Α, και πού 'σαι...	Oh, and where are you...
Παρακαλώ;	Hello?
Ορίστε;	Yes? / How can I help?
Αφήστε μήνυμα και θα επικοινωνήσω μαζί σας.	Leave a message and I'll get back to you.
Θα ήθελα να μιλήσω στον κύριο Οικονόμου, παρακαλώ.	I would like to speak to Mr. Oikonomou, please.
Μπορώ να μιλήσω στον κύριο Οικονόμου;	Can I speak to Mr. Oikonomou?
Μου δίνετε τον Φοίβο, σας παρακαλώ;	Could you put me through to Phoivos, please?
Μήπως είναι εκεί ο Φοίβος;	Is Phoivos there by any chance?
Περιμένετε ένα λεπτό, παρακαλώ.	Wait a moment, please.
Μισό λεπτό να σας συνδέσω.	One moment, let me connect you.
Μια στιγμή, παρακαλώ.	One moment, please.
Ποιος τον/τη ζητά;	Who's asking for him/her?
Μισό λεπτό να δω αν είναι εδώ.	One moment, let me see if he/she is here.
Ένα λεπτό να τον/τη φωνάξω.	One moment, I'll get him/her.
Δεν είναι εδώ αυτή τη στιγμή.	He/she isn't here right now.
Θέλετε ν' αφήσετε ένα μήνυμα;	Would you like to leave a message?
Θέλετε να του πω κάτι;	Would you like me to tell him something?
Λάθος πήρατε. Δεν υπάρχει κύριος Οικονόμου εδώ.	Wrong number. There's no Mr. Oikonomou here.
Μάλλον κάνατε λάθος.	You must have the wrong number.
Ο κύριος Οικονόμου; / Η κυρία Αντωνοπούλου; → Ο ίδιος. / Η ίδια.	Mr. Oikonomou? / Mrs. Antonopoulou? → Speaking.
Ναι; / Έλα. Πού βρίσκεσαι; → Έλα, Φοίβο. Η Σοφία είμαι.	Yes? / Hey, where are you? → Hi, Phoivos. It's Sofia.
Ναι; Με ακούτε; / Ναι; Μ' ακούς;	Yes? Can you hear me? (formal / informal)
Δε σας ακούω καλά. / Έλα, Κώστα. Εσύ είσαι;	I can't hear you well. / Hey, Kosta. Is that you?
Αυτός είναι ο Παναγιώτης. Από 'δώ η Σοφία.	This is Panagiotis. This is Sofia.
Καλώς τα παιδιά. Περάστε.	Welcome, everyone. Come in.
Συγχαρητήρια. Καλή σταδιοδρομία.	Congratulations. Good luck with your career.
– Αυτό είναι για σένα. – Ευχαριστώ. Δεν ήταν ανάγκη.	– This is for you. – Thanks. You shouldn't have.
– Να σου συστήσω τη Μελέκ. – Χαίρομαι που σε γνωρίζω.	– Let me introduce Melek. – Glad to meet you.
– Θυμάσαι τον Φου και τη Λι;	– Do you remember Fou and Li?
Ό,τι επιθυμείς.	Whatever you wish.
