Word	Translation
το μήνυμα	message
το τηλέφωνο	telephone
το κινητό	mobile phone
το πάρτι	party
η πρόσκληση	invitation
το πτυχίο	degree / diploma
ο φίλος	friend
ο πατέρας	father
ο γιος	son
ο γιατρός	doctor (he)
η γιατρός	doctor (she)
ο μαθητής	student
ο άντρας	man
ο γείτονας	neighbor
η οδός	street
η είσοδος	entrance
η λεωφόρος	avenue
η δουλειά	work / job
η γυναίκα	woman
το σπίτι	house
το μάθημα	lesson
η σταδιοδρομία	career
τα συγχαρητήρια	congratulations
η έξοδος	exit
ο δικηγόρος	lawyer (he)
η δικηγόρος	lawyer (she)
ο μηχανικός	engineer (he)
η μηχανικός	engineer (she)
ο οδηγός	driver (he)
η οδηγός	driver (she)
ο πρόεδρος	president (he)
η πρόεδρος	president (she)
ο φοιτητής	student (university)
το σταθερό	landline
η οικογένεια	family
ο συνάδελφος	colleague
ο κύριος	Mr. / gentleman
η κυρία	Mrs. / lady
η στιγμή	moment
το λεπτό	minute
η μουσική	music
το δώρο	gift
το αυτοκίνητο	car
η στάση	(bus) stop
