Word	Translation
Παρακαλώ.	Алло?
Λέγετε;	Слушаю?
Έλα, Αρλέτα.	Привет, Арлета.
Μπορώ να μιλήσω με την κυρία...;	Могу я поговорить с госпожой...?
Ποιος τη ζητάει;	Кто её спрашивает?
Μισό λεπτό να τη φωνάξω.	Одну минуту, я её позову.
Συγνώμη που σε ενοχλώ...	Извини, что беспокою...
Δεν υπάρχει πρόβλημα.	Нет проблем.
Το γιορτάζουμε.	Мы это отмечаем.
Ευχαριστώ για την πρόσκληση.	Спасибо за приглашение.
Πες μου.	Расскажи мне.
Κοίτα.	Слушай...
Εμπρός;	Алло?
Τη Σοφία θα ήθελα, παρακαλώ.	Софию, пожалуйста.
Λάθος πήρατε.	Вы ошиблись номером.
Έλα. Πού βρίσκεσαι;	Привет. Ты где?
Τι κανονίζεις;	Что планируешь?
Μια χαρά!	Отлично!
Τα λέμε πάλι.	Созвонимся ещё.
Καλέσατε το 210 7282537. Αφήστε το μήνυμά σας.	Вы позвонили по номеру 210 7282537. Оставьте своё сообщение.
Θα επικοινωνήσω μαζί σας το συντομότερο δυνατόν.	Я свяжусь с вами как можно скорее.
Θα σε ξαναπάρω το βράδυ.	Я перезвоню тебе вечером.
Τα έμαθες; Θα γίνει χαμός!	Ты слышал(а) новости? Будет полный отпад!
Α, και πού 'σαι...	Ах, и вот ещё что...
Παρακαλώ;	Алло?
Ορίστε;	Слушаю вас?
Αφήστε μήνυμα και θα επικοινωνήσω μαζί σας.	Оставьте сообщение, и я свяжусь с вами.
Θα ήθελα να μιλήσω στον κύριο Οικονόμου, παρακαλώ.	Я хотел(а) бы поговорить с господином Икономоу, пожалуйста.
Μπορώ να μιλήσω στον κύριο Οικονόμου;	Могу я поговорить с господином Икономоу?
Μου δίνετε τον Φοίβο, σας παρακαλώ;	Не могли бы вы соединить меня с Фивосом, пожалуйста?
Μήπως είναι εκεί ο Φοίβος;	А Фивос, случайно, не там?
Περιμένετε ένα λεπτό, παρακαλώ.	Подождите минутку, пожалуйста.
Μισό λεπτό να σας συνδέσω.	Одну минуту, я вас соединю.
Μια στιγμή, παρακαλώ.	Одну секунду, пожалуйста.
Ποιος τον/τη ζητά;	Кто его/её спрашивает?
Μισό λεπτό να δω αν είναι εδώ.	Одну минуту, я посмотрю, здесь ли он/она.
Ένα λεπτό να τον/τη φωνάξω.	Одну минуту, я его/её позову.
Δεν είναι εδώ αυτή τη στιγμή.	Его/её сейчас нет.
Θέλετε ν' αφήσετε ένα μήνυμα;	Хотите оставить сообщение?
Θέλετε να του πω κάτι;	Хотите, чтобы я ему что-то передал(а)?
Λάθος πήρατε. Δεν υπάρχει κύριος Οικονόμου εδώ.	Вы ошиблись номером. Здесь нет господина Икономоу.
Μάλλον κάνατε λάθος.	Похоже, вы ошиблись.
Ο κύριος Οικονόμου; / Η κυρία Αντωνοπούλου; → Ο ίδιος. / Η ίδια.	Господин Икономоу? / Госпожа Андонопулу? → Он самый. / Она сама.
Ναι; / Έλα. Πού βρίσκεσαι; → Έλα, Φοίβο. Η Σοφία είμαι.	Да? / Привет, ты где? → Привет, Фивос. Это София.
Ναι; Με ακούτε; / Ναι; Μ' ακούς;	Да? Вы меня слышите? / Да? Ты меня слышишь?
Δε σας ακούω καλά. / Έλα, Κώστα. Εσύ είσαι;	Я плохо вас слышу. / Привет, Костас, это ты?
Αυτός είναι ο Παναγιώτης. Από 'δώ η Σοφία.	Это Панайотис. А это София.
Καλώς τα παιδιά. Περάστε.	Добро пожаловать, ребята. Проходите.
Συγχαρητήρια. Καλή σταδιοδρομία.	Поздравляю. Удачной карьеры.
– Αυτό είναι για σένα. – Ευχαριστώ. Δεν ήταν ανάγκη.	– Это тебе. – Спасибо, не стоило.
– Να σου συστήσω τη Μελέκ. – Χαίρομαι που σε γνωρίζω.	– Познакомься, это Мелек. – Рад(а) познакомиться.
– Θυμάσαι τον Φου και τη Λι;	– Помнишь Фоу и Ли?
Ό,τι επιθυμείς.	Как пожелаешь.
