Word	Translation
βάζω	класть
αγοράζω	покупать
γράφω	писать
τραβάω	тянуть
πετάω	летать / бросать
λέω	сказать
διαβάζω	читать
φτάνω	прибывать
δουλεύω	работать
μιλάω	разговаривать
οργανώνω	организовывать
πληρώνω	платить
νιώθω	чувствовать
κοιτάζω	смотреть
ανοίγω	открывать
τρέχω	бежать
φτιάχνω	делать / чинить
μπλέκω	запутываться
διδάσκω	учить (преподавать)
λείπω	отсутствовать
ανάβω	зажигать
βλάπτω	вредить
τηλεφωνώ	звонить
ζω	жить
γελάω	смеяться
διψάω	хотеть пить
ξεχνάω	забывать
φοράω	носить
καλώ	приглашать
μπορώ	мочь
πηδάω	прыгать
φυσάω	дуть
βουτάω	нырять
κοιτάω	смотреть
φυλάω	хранить
ανεβαίνω	подниматься
αρρωσταίνω	заболевать
βγάζω	вынимать
βγαίνω	выходить
βλέπω	видеть
βρίσκω	находить
δίνω	давать
είμαι	быть
έχω	иметь
θέλω	хотеть
καίω	жечь
κάνω	делать
καταλαβαίνω	понимать
κατεβαίνω	спускаться
κλαίω	плакать
μαθαίνω	учить(ся)
μένω	оставаться
μεθάω	напиваться
ξέρω	знать
μπαίνω	входить
παθαίνω	страдать
παίρνω	брать
πεθαίνω	умирать
περιμένω	ждать
πέφτω	падать
πηγαίνω	идти
πίνω	пить
πλένω	мыть
στέλνω	посылать
τρώω	есть
φέρνω	приносить
φεύγω	уходить
γίνομαι	становиться
έρχομαι	приходить
κάθομαι	сидеть
ψιχαλίζει	моросит
χιονίζει	идёт снег
βρέχει	идёт дождь
φυσάει	дует ветер
αστράφτει	сверкает молния
βροντάει	гремит гром
