Word	Translation
ο ήλιος	солнце
η συννεφιά	облачность
η βροχή	дождь
το χιόνι	снег
η θερμοκρασία	температура
ο άνεμος	ветер
η καταιγίδα	гроза
η ηλιοφάνεια	солнечная погода
η πεζοπορία	пеший туризм
η εκδρομή	экскурсия
το βουνό	гора
το δάσος	лес
η θάλασσα	море
ο Βορράς	Север
ο Νότος	Юг
η Ανατολή	Восток
η Δύση	Запад
το δελτίο καιρού	прогноз погоды
η κακοκαιρία	непогода
το περπάτημα	ходьба
η φύση	природа
η λιακάδα	солнечная погода
η υπομονή	терпение
η ψιχάλα	морось
ο καιρός	погода
το γήπεδο	стадион
ο αγώνας	матч
το σχέδιο	план
η ζέστη	жара
ο καύσωνας	зной
το κρύο	холод
η ψύχρα	прохлада
η δροσιά	свежесть
η παγωνιά	мороз
ο αέρας	воздух / ветер
το σύννεφο	облако
το χιονόνερο	мокрый снег
το χαλάζι	град
η ομίχλη	туман
η υγρασία	влажность
η αστραπή	молния
η βροντή	гром
ο κεραυνός	удар молнии
η αποθήκη	склад
ο μετεωρολόγος	метеоролог
η άνοδος	подъём
η πτώση	падение
η άνοιξη	весна
το καλοκαίρι	лето
το φθινόπωρο	осень
ο χειμώνας	зима
η εποχή	сезон
η ρύπανση	загрязнение
ο θόρυβος	шум
ο οργανισμός	организм
το αντηλιακό	солнцезащитный крем
ο πυρετός	температура (жар)
η ζάλη	головокружение
ο εμετός	рвота
το φαρμακείο	аптека
ο γιατρός	врач
