Word	Translation
βάζω	to put
αγοράζω	to buy
γράφω	to write
τραβάω	to pull
πετάω	to fly / throw
λέω	to say
διαβάζω	to read
φτάνω	to arrive
δουλεύω	to work
μιλάω	to speak
οργανώνω	to organize
πληρώνω	to pay
νιώθω	to feel
κοιτάζω	to look at
ανοίγω	to open
τρέχω	to run
φτιάχνω	to fix / make
μπλέκω	to get tangled / involved
διδάσκω	to teach
λείπω	to be absent
ανάβω	to light / switch on
βλάπτω	to harm
τηλεφωνώ	to phone
ζω	to live
γελάω	to laugh
διψάω	to be thirsty
ξεχνάω	to forget
φοράω	to wear
καλώ	to invite / call
μπορώ	to be able to
πηδάω	to jump
φυσάω	to blow
βουτάω	to dive
κοιτάω	to look at
φυλάω	to guard / keep
ανεβαίνω	to go up
αρρωσταίνω	to get sick
βγάζω	to take out
βγαίνω	to go out
βλέπω	to see
βρίσκω	to find
δίνω	to give
είμαι	to be
έχω	to have
θέλω	to want
καίω	to burn
κάνω	to do / make
καταλαβαίνω	to understand
κατεβαίνω	to go down
κλαίω	to cry
μαθαίνω	to learn
μένω	to stay
μεθάω	to get drunk
ξέρω	to know
μπαίνω	to enter
παθαίνω	to suffer / experience
παίρνω	to take
πεθαίνω	to die
περιμένω	to wait
πέφτω	to fall
πηγαίνω	to go
πίνω	to drink
πλένω	to wash
στέλνω	to send
τρώω	to eat
φέρνω	to bring
φεύγω	to leave
γίνομαι	to become
έρχομαι	to come
κάθομαι	to sit
ψιχαλίζει	it drizzles
χιονίζει	it snows
βρέχει	it rains
φυσάει	it's windy
αστράφτει	it's lightning
βροντάει	it's thundering
