Word	Translation
ο ήλιος	sun
η συννεφιά	cloudiness
η βροχή	rain
το χιόνι	snow
η θερμοκρασία	temperature
ο άνεμος	wind
η καταιγίδα	storm
η ηλιοφάνεια	sunshine
η πεζοπορία	hiking
η εκδρομή	excursion / trip
το βουνό	mountain
το δάσος	forest
η θάλασσα	sea
ο Βορράς	North
ο Νότος	South
η Ανατολή	East
η Δύση	West
το δελτίο καιρού	weather forecast
η κακοκαιρία	bad weather
το περπάτημα	walking
η φύση	nature
η λιακάδα	sunny spell
η υπομονή	patience
η ψιχάλα	drizzle
ο καιρός	weather
το γήπεδο	stadium
ο αγώνας	match
το σχέδιο	plan
η ζέστη	heat
ο καύσωνας	heatwave
το κρύο	cold
η ψύχρα	chill
η δροσιά	coolness
η παγωνιά	frost
ο αέρας	air / wind
το σύννεφο	cloud
το χιονόνερο	sleet
το χαλάζι	hail
η ομίχλη	fog
η υγρασία	humidity
η αστραπή	lightning
η βροντή	thunder
ο κεραυνός	lightning strike
η αποθήκη	storage / warehouse
ο μετεωρολόγος	meteorologist
η άνοδος	rise
η πτώση	fall / drop
η άνοιξη	spring
το καλοκαίρι	summer
το φθινόπωρο	autumn
ο χειμώνας	winter
η εποχή	season
η ρύπανση	pollution
ο θόρυβος	noise
ο οργανισμός	(human) body / organism
το αντηλιακό	sunscreen
ο πυρετός	fever
η ζάλη	dizziness
ο εμετός	vomiting
το φαρμακείο	pharmacy
ο γιατρός	doctor
