form	lemma	pos	context	meaning
ἔνθεν	ἔνθεν	adv	Od. IX 62-66	оттуда, оттуда прочь
προτέρω	προτέρω	adv	Od. IX 62-66	дальше, далее (сравнительная степень наречия от πρό)
πλέομεν	πλέω	verb	Od. IX 62-66	поплыли (1 л. мн. ч. имперфекта от πλέω)
ἀκαχήμενοι	ἀχεύω	verb	Od. IX 62-66	опечаленные, удручённые (причастие мед. перфекта, им. п. мн. ч. муж. рода, от ἀχεύω горевать, печалиться)
ἦτορ	ἦτορ	noun	Od. IX 62-66	сердце, душа (вин. п. ед. ч. ср. рода)
ἄσμενοι	ἄσμενος	adj	Od. IX 62-66	радующиеся, иногда свободные от (им. п. мн. ч. муж. рода от ἄσμενος)
θανάτοιο	θάνατος	noun	Od. IX 62-66	смерти (род. п. ед. ч. от θάνατος). Гомеровская форма родительного падежа на -οιο.
φίλους	φίλος	adj	Od. IX 62-66	дорогих, любимых (вин. п. мн. ч. от φίλος)
ὀλέσαντες	ὄλλυμι	verb	Od. IX 62-66	потеряв (причастие аориста действительного залога от ὄλλυμι, им. п. мн. ч. муж. рода)
ἑταίρους	ἑταῖρος	noun	Od. IX 62-66	товарищей (вин. п. мн. ч. от ἑταῖρος)
οὐδ᾽	οὐδέ	particle	Od. IX 62-66	и не
μοι	ἐγώ	pronoun	Od. IX 62-66	мне (дат. п. от ἐγώ), зд. «у меня»
νῆες	ναῦς	noun	Od. IX 62-66	корабли (им. п. мн. ч. от ναῦς)
κίον	κίω	verb	Od. IX 62-66	двигались (имперфект от κίω)
ἀμφιέλισσαι	ἀμφιέλισσα	adj	Od. IX 62-66	с обеих сторон изогнутые (им. п. мн. ч. жен. рода). ἀμφί вокруг, с обеих сторон + ἑλίσσω поворачивать, изгибать
πρίν	πρίν	conj	Od. IX 62-66	прежде чем
τινα	τις	pronoun	Od. IX 62-66	кого-нибудь (вин. п. ед. ч. от τις)
δειλῶν	δειλός	adj	Od. IX 62-66	несчастных, жалких (род. п. мн. ч. от δειλός)
ἑτάρων	ἑταῖρος	noun	Od. IX 62-66	товарищей (род. п. мн. ч.)
τρὶς	τρὶς	adv	Od. IX 62-66	трижды (наречие)
ἕκαστον	ἕκαστος	adj	Od. IX 62-66	каждого (вин. п. ед. ч. от ἕκαστος)
ἀῦσαι	ἀΰω	verb	Od. IX 62-66	окликнуть, воззвать (инфинитив акт. аориста от ἀΰω)
οἳ	ὅς	pronoun	Od. IX 62-66	которые (им. п. мн. ч. от ὅς)
θάνον	θνῄσκω	verb	Od. IX 62-66	погибли (аорист от θνῄσκω)
πεδίῳ	πεδίον	noun	Od. IX 62-66	равнине, поле (дат. п. ед. ч. от πεδίον)
δῃωθέντες	δηϊόω	verb	Od. IX 62-66	убитые, сражённые, уничтоженные (причастие аориста страдательного залога, им. п. мн. ч., от δηϊόω)
νηυσὶ	ναῦς	noun	Od. IX 67-71	кораблям, на корабли (дат. п. мн. ч., от ναῦς)
ἐπῶρσ᾽	ἐπορνύμι	verb	Od. IX 67-71	воздвиг, поднял, наслал (акт. аорист, 3 л. ед. ч., от ἐπορνύμι)
ἄνεμον	ἄνεμος	noun	Od. IX 67-71	ветер (вин. п. ед. ч., от ἄνεμος)
νεφεληγερέτα	νεφεληγερέτα	noun	Od. IX 67-71	тучегонитель, собирающий облака (им. п. ед. ч., эпитет Зевса). νεφέλη облако + ἀγείρω собирать
λαίλαπι	λαῖλαψ	noun	Od. IX 67-71	бурей, вихрем (дат. п. ед. ч., от λαῖλαψ)
θεσπεσίῃ	θεσπέσιος	adj	Od. IX 67-71	божественной, дивной, необычайной (дат. п. ед. ч. жен. рода, от θεσπέσιος)
σὺν	σύν	prep	Od. IX 67-71	вместе с
νεφέεσσι	νεφέλη	noun	Od. IX 67-71	облаками (дат. п. мн. ч., от νεφέλη). Гомеровская форма дат. мн. числа.
κάλυψε	καλύπτω	verb	Od. IX 67-71	покрыл (акт. аорист, 3 л. ед. ч., от καλύπτω)
γαῖαν	γαῖα	noun	Od. IX 67-71	землю (вин. п. ед. ч., от γαῖα)
ὁμοῦ	ὁμοῦ	adv	Od. IX 67-71	вместе, одновременно
καὶ	καί	conj	Od. IX 67-71	и
πόντον	πόντος	noun	Od. IX 67-71	море (вин. п. ед. ч., от πόντος)
ὀρώρει	ὄρνυμι	verb	Od. IX 67-71	поднялась, наступила (плюсквамперфект, 3 л. ед. ч., от ὄρνυμι)
οὐρανόθεν	οὐρανόθεν	adv	Od. IX 67-71	с неба (наречие с суффиксом -θεν)
νύξ	νύξ	noun	Od. IX 67-71	ночь
αἱ	ὁ	pronoun	Od. IX 67-71	они (им. п. мн. ч. жен. рода артикля; корабли)
ἔπειτ᾽	ἔπειτα	adv	Od. IX 67-71	затем, после этого
ἐφέροντ᾽	φέρω	verb	Od. IX 67-71	неслись, были уносимы (пасс. имперфект, 3 л. мн. ч., от φέρω)
ἐπικάρσιαι	ἐπικάρσιος	adj	Od. IX 67-71	поперёк, боком (им. п. мн. ч. жен. рода, от ἐπικάρσιος)
ἱστία	ἱστίον	noun	Od. IX 67-71	паруса (им. п. мн. ч. ср. рода, от ἱστίον)
σφιν	σφεῖς	pronoun	Od. IX 67-71	им (дат. п. мн. ч. от σφεῖς)
τριχθά	τριχθά	adv	Od. IX 67-71	натрое, на три части
τετραχθὰ	τετραχθά	adv	Od. IX 67-71	на четыре части
διέσχισεν	διασχίζω	verb	Od. IX 67-71	разорвала, расщепила (акт. аорист, 3 л. ед. ч., от διασχίζω)
ἲς	ἴς	noun	Od. IX 67-71	сила, мощь
ἀνέμοιο	ἄνεμος	noun	Od. IX 67-71	ветра (род. п. ед. ч., от ἄνεμος). Гомеровская форма родительного падежа на -οιο
τὰ	ὁ	pronoun	Od. IX 72-75	их, паруса (вин. п. мн. ч. ср. рода, от артикля)
ἐς	ἐς	prep	Od. IX 72-75	в
νῆας	ναῦς	noun	Od. IX 72-75	корабли (вин. п. мн. ч., от ναῦς)
κάθεμεν	καθίημι	verb	Od. IX 72-75	спустили, уложили (акт. аорист, 1 л. мн. ч., от καθίημι)
δείσαντες	δείδω	verb	Od. IX 72-75	испугавшись (причастие акт. аориста, им. п. мн. ч. муж. рода, от δείδω)
ὄλεθρον	ὄλεθρος	noun	Od. IX 72-75	гибели, погибели (вин. п. ед. ч., от ὄλεθρος)
αὐτὰς	αὐτός	pronoun	Od. IX 72-75	их, сами корабли (вин. п. мн. ч. жен. рода, от αὐτός)
ἐσσυμένως	ἐσσυμένως	adv	Od. IX 72-75	быстро, поспешно
προερέσσαμεν	προερέσσω	verb	Od. IX 72-75	погребли вперёд, направили вёслами (акт. аорист, 1 л. мн. ч., от προερέσσω)
ἤπειρόνδε	ἤπειρος	noun	Od. IX 72-75	к материку, к суше (вин. п. ед. ч. с частицей направления -δε, от ἤπειρος)
ἔνθα	ἔνθα	adv	Od. IX 72-75	там
δύω	δύο	numeral	Od. IX 72-75	два (эпическая вариантная форма числительного δύο)
νύκτας	νύξ	noun	Od. IX 72-75	ночи (вин. п. мн. ч., от νύξ)
ἤματα	ἦμαρ	noun	Od. IX 72-75	дни (вин. п. мн. ч., от ἦμαρ). Гомеровское вместо более позднего аттического ἡμέρα
συνεχὲς	συνεχής	adv	Od. IX 72-75	непрерывно, подряд (наречное употребление ср. рода от συνεχής)
αἰεὶ	αἰεί	adv	Od. IX 72-75	всегда, всё время
κείμεθ᾽	κεῖμαι	verb	Od. IX 72-75	лежали (медиальный имперфект, 1 л. мн. ч., от κεῖμαι)
καμάτῳ	κάματος	noun	Od. IX 72-75	усталостью (дат. п. ед. ч., от κάματος)
ἄλγεσι	ἄλγος	noun	Od. IX 72-75	страданиями, муками (дат. п. мн. ч., от ἄλγος)
θυμὸν	θυμός	noun	Od. IX 72-75	сердце, дух (вин. п. ед. ч., от θυμός)
ἔδοντες	ἔδω	verb	Od. IX 72-75	съедая, пожирая (акт. причастие настоящего времени, им. п. мн. ч. муж. рода, от ἔδω)
ἀλλ᾽	ἀλλά	conj	Od. IX 76-78	но
ὅτε	ὅτε	conj	Od. IX 76-78	когда
δὴ	δὴ	particle	Od. IX 76-78	же, наконец, уже (усилительная частица)
τρίτον	τρίτος	noun	Od. IX 76-78	третий (вин. п. ед. ч. ср. рода, от τρίτος)
ἐυπλόκαμος	ἐυπλόκαμος	noun	Od. IX 76-78	прекраснокудрая (им. п. ед. ч. жен. рода, от ἐυπλόκαμος)
τέλεσ᾽	τελέω	verb	Od. IX 76-78	завершила, довела до конца (акт. аорист, 3 л. ед. ч., от τελέω)
ἱστοὺς	ἱστός	noun	Od. IX 76-78	мачты (вин. п. мн. ч., от ἱστός)
στησάμενοι	ἵστημι	verb	Od. IX 76-78	поставив (причастие медиального аориста, им. п. мн. ч. муж. рода, от ἵστημι)
ἀνά	ἀνά	prep	Od. IX 76-78	вверх
θ᾽	τε	particle	Od. IX 76-78	и
λεύκ᾽	λευκός	adj	Od. IX 76-78	белые (вин. п. мн. ч. ср. рода, от λευκός)
ἐρύσαντες	ἐρύω	verb	Od. IX 76-78	подняв, натянув (причастие акт. аориста, им. п. мн. ч. муж. рода, от ἐρύω)
ἥμεθα	ἧμαι	verb	Od. IX 76-78	сидели (имперфект, 1 л. мн. ч., от ἧμαι)
τὰς	ὁ	pronoun	Od. IX 76-78	их (вин. п. мн. ч. жен. рода от артикля, имеется в виду корабли)
κυβερνῆταί	κυβερνήτης	noun	Od. IX 76-78	кормчие (им. п. мн. ч., от κυβερνήτης)
ἴθυνον	ἰθύνω	verb	Od. IX 76-78	направляли, держали прямо (акт. имперфект, 3 л. мн. ч., от ἰθύνω)
νύ	νύ	particle	Od. IX 79-81	теперь, тогда, конечно (усилительная эпическая частица)
κεν	κεν	particle	Od. IX 79-81	частица потенциальности («бы», «мог бы»). эпическая форма частицы, которой в классическом аттическом обычно соответствует ἄν.
ἀσκηθὴς	ἀσκηθής	adj	Od. IX 79-81	невредимым, без ущерба
ἱκόμην	ἱκνέομαι	verb	Od. IX 79-81	достиг бы, прибыл бы (аорист с частицей κεν – нереальное условие, 1 л. ед. ч., от ἱκνέομαι)
