form	lemma	pos	context	meaning
οἵ	ὅς	pronoun	IX.130: οἵ κέ σφιν καὶ νῆσον	который (относит. мест., им. п. мн. ч. муж. рода)
κέ	κε	particle	IX.130: οἵ κέ σφιν καὶ νῆσον	эпическая частица потенциальности (= аттич. ἄν)
σφιν	σφεῖς	pronoun	IX.130: κέ σφιν καὶ νῆσον ἐϋκτιμένην	им, для них (дат. п. мн. ч.; эпич. форма, аттич. ожидалось бы αὐτοῖς)
νῆσον	νῆσος	noun	IX.130: σφιν καὶ νῆσον ἐϋκτιμένην ἐκάμοντο	остров
ἐϋκτιμένην	ἐϋκτίμενος	adj	IX.130: νῆσον ἐϋκτιμένην ἐκάμοντο	хорошо заселённый, благоустроенный (εὖ + κτίζω)
ἐκάμοντο	κάμνω	verb	IX.130: ἐϋκτιμένην ἐκάμοντο	сделали бы (мед. аорист, ирреальное знач. с κέ)
τι	τις	pronoun	IX.131: οὐ μὲν γάρ τι κακή γε	сколько-нибудь, хоть сколько-то (неопр. мест. в знач. частицы)
κακή	κακός	adj	IX.131: γάρ τι κακή γε, φέροι	плохой (им. п. ед. ч. жен. рода)
φέροι	φέρω	verb	IX.131: κακή γε, φέροι δέ κεν ὥρια	мог бы приносить (акт. през. оптатив + κέ = потенциальность)
ὥρια	ὥριος	adj	IX.131: φέροι δέ κεν ὥρια πάντα	по времени года, сезонное
πάντα	πᾶς	adj	IX.131: κεν ὥρια πάντα	всё (вин. п. мн. ч. ср. рода)
ἐν	ἐν	prep	IX.132: ἐν μὲν γὰρ λειμῶνες	там (зд. наречно)
λειμῶνες	λειμών	noun	IX.132: ἐν μὲν γὰρ λειμῶνες ἁλὸς	луга, заливные луга
ἁλὸς	ἅλς	noun	IX.132: λειμῶνες ἁλὸς πολιοῖο παρ'	моря (род. п. ед. ч.)
πολιοῖο	πολιός	adj	IX.132: ἁλὸς πολιοῖο παρ' ὄχθας	седого, серого (гомеровское оконч. -οιο = аттич. -ου)
ὄχθας	ὄχθη	noun	IX.132: πολιοῖο παρ' ὄχθας	берегов
ὑδρηλοὶ	ὑδρηλός	adj	IX.133: ὑδρηλοὶ μαλακοί· μάλα κ' ἄφθιτοι	влажные, хорошо орошаемые
μαλακοί	μαλακός	adj	IX.133: ὑδρηλοὶ μαλακοί· μάλα κ'	мягкие, тучные, плодородные
μάλα	μάλα	adv	IX.133: μαλακοί· μάλα κ' ἄφθιτοι ἄμπελοι	очень
κ᾽	κε	particle	IX.133: μάλα κ' ἄφθιτοι ἄμπελοι εἶεν	= κεν, бы
ἄφθιτοι	ἄφθιτος	adj	IX.133: κ' ἄφθιτοι ἄμπελοι εἶεν	неувядающие, неиссякаемые
ἄμπελοι	ἄμπελος	noun	IX.133: ἄφθιτοι ἄμπελοι εἶεν	виноградные лозы, виноградники
εἶεν	εἰμί	verb	IX.133: ἄμπελοι εἶεν	были бы (акт. през. оптатив + κέ = потенциальность)
ἄροσις	ἄροσις	noun	IX.134: ἐν δ' ἄροσις λείη· μάλα	пашня, пахотная земля
λείη	λεῖος	adj	IX.134: δ' ἄροσις λείη· μάλα κεν	ровная, гладкая (им. п. ед. ч. жен. рода)
