lemma	form	stanza_ref	translator	reflected
νῆσος	νῆσον	IX.130–133	Жуковский	yes
νῆσος	νῆσον	IX.130–133	Вересаев	yes
νῆσος	νῆσον	IX.130–133	Стариковский	yes
νῆσος	νῆσον	IX.146–151	Жуковский	yes
νῆσος	νῆσον	IX.146–151	Вересаев	yes
νῆσος	νῆσον	IX.146–151	Стариковский	yes
ἐϋκτίμενος	ἐϋκτιμένην	IX.130–133	Жуковский	no
ἐϋκτίμενος	ἐϋκτιμένην	IX.130–133	Вересаев	no
ἐϋκτίμενος	ἐϋκτιμένην	IX.130–133	Стариковский	yes
κάμνω	ἐκάμοντο	IX.130–133	Жуковский	yes
κάμνω	ἐκάμοντο	IX.130–133	Вересаев	yes
κάμνω	ἐκάμοντο	IX.130–133	Стариковский	yes
κακός	κακή	IX.130–133	Жуковский	yes
κακός	κακή	IX.130–133	Вересаев	yes
κακός	κακή	IX.130–133	Стариковский	yes
φέρω	φέροι	IX.130–133	Жуковский	yes
φέρω	φέροι	IX.130–133	Вересаев	yes
φέρω	φέροι	IX.130–133	Стариковский	yes
ὥριος	ὥρια	IX.130–133	Жуковский	yes
ὥριος	ὥρια	IX.130–133	Вересаев	yes
ὥριος	ὥρια	IX.130–133	Стариковский	yes
πᾶς	πάντα	IX.130–133	Жуковский	yes
πᾶς	πάντα	IX.130–133	Вересаев	yes
πᾶς	πάντα	IX.130–133	Стариковский	no
πᾶς	πάντα	IX.146–151	Жуковский	no
πᾶς	πάντα	IX.146–151	Вересаев	no
πᾶς	πάντα	IX.146–151	Стариковский	no
λειμών	λειμῶνες	IX.130–133	Жуковский	yes
λειμών	λειμῶνες	IX.130–133	Вересаев	yes
λειμών	λειμῶνες	IX.130–133	Стариковский	yes
ἅλς	ἁλὸς	IX.130–133	Жуковский	yes
ἅλς	ἁλὸς	IX.130–133	Вересаев	yes
ἅλς	ἁλὸς	IX.130–133	Стариковский	yes
πολιός	πολιοῖο	IX.130–133	Жуковский	no
πολιός	πολιοῖο	IX.130–133	Вересаев	yes
πολιός	πολιοῖο	IX.130–133	Стариковский	no
ὄχθη	ὄχθας	IX.130–133	Жуковский	no
ὄχθη	ὄχθας	IX.130–133	Вересаев	yes
ὄχθη	ὄχθας	IX.130–133	Стариковский	no
ὑδρηλός	ὑδρηλοὶ	IX.130–133	Жуковский	yes
ὑδρηλός	ὑδρηλοὶ	IX.130–133	Вересаев	yes
ὑδρηλός	ὑδρηλοὶ	IX.130–133	Стариковский	yes
μαλακός	μαλακοί	IX.130–133	Жуковский	yes
μαλακός	μαλακοί	IX.130–133	Вересаев	yes
μαλακός	μαλακοί	IX.130–133	Стариковский	yes
μάλα	μάλα	IX.130–133	Жуковский	no
μάλα	μάλα	IX.130–133	Вересаев	no
μάλα	μάλα	IX.130–133	Стариковский	no
μάλα	μάλα	IX.134–139	Жуковский	no
μάλα	μάλα	IX.134–139	Вересаев	yes
μάλα	μάλα	IX.134–139	Стариковский	no
ἄφθιτος	ἄφθιτοι	IX.130–133	Жуковский	no
ἄφθιτος	ἄφθιτοι	IX.130–133	Вересаев	no
ἄφθιτος	ἄφθιτοι	IX.130–133	Стариковский	yes
ἄμπελος	ἄμπελοι	IX.130–133	Жуковский	yes
ἄμπελος	ἄμπελοι	IX.130–133	Вересаев	yes
ἄμπελος	ἄμπελοι	IX.130–133	Стариковский	yes
εἰμί	εἶεν	IX.130–133	Жуковский	no
εἰμί	εἶεν	IX.130–133	Вересаев	no
εἰμί	εἶεν	IX.130–133	Стариковский	yes
ἄροσις	ἄροσις	IX.134–139	Жуковский	yes
ἄροσις	ἄροσις	IX.134–139	Вересаев	yes
ἄροσις	ἄροσις	IX.134–139	Стариковский	yes
λεῖος	λείη	IX.134–139	Жуковский	yes
λεῖος	λείη	IX.134–139	Вересаев	yes
λεῖος	λείη	IX.134–139	Стариковский	yes
βαθύς	βαθὺ	IX.134–139	Жуковский	no
βαθύς	βαθὺ	IX.134–139	Вересаев	yes
βαθύς	βαθὺ	IX.134–139	Стариковский	no
λήϊον	λήϊον	IX.134–139	Жуковский	yes
λήϊον	λήϊον	IX.134–139	Вересаев	yes
λήϊον	λήϊον	IX.134–139	Стариковский	yes
αἰεί	αἰεί	IX.134–139	Жуковский	no
αἰεί	αἰεί	IX.134–139	Вересаев	no
αἰεί	αἰεί	IX.134–139	Стариковский	no
ὥρα	ὥρας	IX.134–139	Жуковский	no
ὥρα	ὥρας	IX.134–139	Вересаев	no
ὥρα	ὥρας	IX.134–139	Стариковский	yes
ἀμάω	ἀμῶιεν	IX.134–139	Жуковский	yes
