Word	Translation
Έχεις τρεις επιλογές.	У тебя есть три варианта.
Βγαίνεις από την έξοδο 4.	Выходишь через выход номер 4.
Κατεβαίνεις στη στάση…, περνάς απέναντι, παίρνεις το λεωφορείο…	Выходишь на остановке..., переходишь на другую сторону, садишься на автобус...
Έχει συχνά δρομολόγια.	Он ходит часто.
Θα κατέβεις στη στάση, θα περάσεις απέναντι, θα βρεις την οδό Δημοκρατίας.	Выйдешь на остановке, перейдёшь на другую сторону и найдёшь улицу Демократиас.
Είναι κάθετη στην Παπάγου. Θα προχωρήσεις ευθεία πάνω.	Она перпендикулярна улице Папагу. Пойдёшь прямо вверх.
Συνεχίζεις όλο ευθεία και στο δεύτερο στενό θα στρίψεις αριστερά.	Идёшь всё время прямо и на втором переулке повернёшь налево.
Συγνώμη που ενοχλώ …	Извините за беспокойство...
Μπορώ να σας ρωτήσω κάτι;	Можно вас кое-что спросить?
Μήπως ξέρετε πού είναι η στάση …;	Вы, случайно, не знаете, где остановка...?
Πηγαίνετε ίσια.	Идите прямо.
Να σας πω …	Позвольте сказать...
Έχασες τον δρόμο;	Ты заблудился(-лась)?
Μόνο που έχει φοβερή κίνηση.	Только там ужасное движение.
Έτσι γίνεται συνήθως.	Так обычно и бывает.
Ξέρω, ξέρω.	Знаю, знаю.
Καλά έκανες.	Ты правильно сделал(а).
Πάντως, δεν άργησες και τόσο.	В любом случае, ты не так уж и опоздал(а).
Δεν περίμενα να κάνω τόσες ώρες…	Я не ожидал(а), что это займёт столько часов...
Είχε πολλή πλάκα.	Было очень весело.
Άκου να δεις.	Ты только послушай.
Πώς σου φαίνεται η καινούρια σου γειτονιά;	Как тебе новый район?
Στην ανάγκη, πάω και με τα πόδια.	В крайнем случае, я и пешком пойду.
Τουλάχιστον έχει συχνές συγκοινωνίες.	По крайней мере, там частый общественный транспорт.
Πράγματι.	Действительно.
Το μόνο αρνητικό είναι ότι…	Единственный минус в том, что...
Βρε παιδί μου.	Ну ты даёшь.
Δε μου λες.	Расскажи-ка.
