Word	Translation
ο δρόμος	road / street
το παιδί	child
ο χρόνος	year / time
το λεωφορείο	bus
η στάση	stop
το σχολείο	school
ο φίλος	friend
το βιβλίο	book
η στιγμή	moment
η γειτονιά	neighborhood
το πεζοδρόμιο	sidewalk
η πολυκατοικία	apartment building
το πράσινο	greenery
το χωράφι	field
η αυλή	courtyard / yard
το αεροπλάνο	airplane
το τρένο	train
το ποδήλατο	bicycle
το μήνυμα	message
το κινητό	mobile phone
το γράμμα	letter
ο υπολογιστής	computer
η τσάντα	bag
το κοστούμι	suit
τα σκουπίδια	garbage
η επιστροφή	return
η πατρίδα	homeland
η γλώσσα	language
το βουνό	mountain
το διαμέρισμα	apartment
η παραλία	beach
το λιμάνι	port
ο τουρίστας	tourist
ο μετανάστης	migrant
η ατμόσφαιρα	atmosphere
το εργοστάσιο	factory
η οικογένεια	family
το λουλούδι	flower
η πλατεία	square
το αυτοκίνητο	car
