Word	Translation
ο δρόμος	дорога
το παιδί	ребёнок
ο χρόνος	год / время
το λεωφορείο	автобус
η στάση	остановка
το σχολείο	школа
ο φίλος	друг
το βιβλίο	книга
η στιγμή	момент
η γειτονιά	район
το πεζοδρόμιο	тротуар
η πολυκατοικία	многоэтажный дом
το πράσινο	зелень
το χωράφι	поле
η αυλή	двор
το αεροπλάνο	самолёт
το τρένο	поезд
το ποδήλατο	велосипед
το μήνυμα	сообщение
το κινητό	мобильный телефон
το γράμμα	письмо
ο υπολογιστής	компьютер
η τσάντα	сумка
το κοστούμι	костюм
τα σκουπίδια	мусор
η επιστροφή	возвращение
η πατρίδα	родина
η γλώσσα	язык
το βουνό	гора
το διαμέρισμα	квартира
η παραλία	пляж
το λιμάνι	порт
ο τουρίστας	турист
ο μετανάστης	мигрант
η ατμόσφαιρα	атмосфера
το εργοστάσιο	завод
η οικογένεια	семья
το λουλούδι	цветок
η πλατεία	площадь
το αυτοκίνητο	машина
