Word	Translation
Εδώ, τα λέγαμε…	А мы как раз об этом и говорили...
Μα τι κατάσταση είναι αυτή;	Ну и ситуация же это!
Αμάν πια!	Ну сколько можно!
Εμ, βέβαια!	Ну конечно!
Ακόμα και…	Даже...
Άκουσα ότι…	Я слышал(а), что...
Αλλά με όλα τα προβλήματά του…	Но со всеми его проблемами...
Όχι όπως τώρα που…	Не так, как сейчас, когда...
Δεν είναι η μέρα σου σήμερα.	Сегодня не твой день.
Όλα μαύρα τα βλέπεις.	Ты видишь всё в чёрном свете.
Μήπως σου φτιάξει το κέφι.	Может, это поднимет тебе настроение.
Τι να σας κεράσουμε;	Чем вас угостить?
