lemma	form	stanza_ref	translator	reflected
ἔνθεν	ἔνθεν	IX.62–66	Жуковский	no
ἔνθεν	ἔνθεν	IX.62–66	Вересаев	yes
προτέρω	προτέρω	IX.62–66	Жуковский	yes
προτέρω	προτέρω	IX.62–66	Вересаев	yes
πλέω	πλέομεν	IX.62–66	Жуковский	yes
πλέω	πλέομεν	IX.62–66	Вересаев	yes
ἀχεύω	ἀκαχήμενοι	IX.62–66	Жуковский	yes
ἀχεύω	ἀκαχήμενοι	IX.62–66	Вересаев	yes
ἦτορ	ἦτορ	IX.62–66	Жуковский	yes
ἦτορ	ἦτορ	IX.62–66	Вересаев	yes
ἄσμενος	ἄσμενοι	IX.62–66	Жуковский	yes
ἄσμενος	ἄσμενοι	IX.62–66	Вересаев	no
θάνατος	θανάτοιο	IX.62–66	Жуковский	yes
θάνατος	θανάτοιο	IX.62–66	Вересаев	yes
φίλος	φίλους	IX.62–66	Жуковский	yes
φίλος	φίλους	IX.62–66	Вересаев	yes
ὄλλυμι	ὀλέσαντες	IX.62–66	Жуковский	no
ὄλλυμι	ὀλέσαντες	IX.62–66	Вересаев	yes
ἑταῖρος	ἑταίρους	IX.62–66	Жуковский	no
ἑταῖρος	ἑταίρους	IX.62–66	Вересаев	yes
ναῦς	νῆες	IX.62–66	Жуковский	yes
ναῦς	νῆες	IX.62–66	Вересаев	yes
κίω	κίον	IX.62–66	Жуковский	yes
κίω	κίον	IX.62–66	Вересаев	yes
ἀμφιέλισσα	ἀμφιέλισσαι	IX.62–66	Жуковский	no
ἀμφιέλισσα	ἀμφιέλισσαι	IX.62–66	Вересаев	yes
δειλός	δειλῶν	IX.62–66	Жуковский	yes
δειλός	δειλῶν	IX.62–66	Вересаев	yes
ἑταῖρος	ἑτάρων	IX.62–66	Жуковский	yes
ἑταῖρος	ἑτάρων	IX.62–66	Вересаев	yes
τρὶς	τρὶς	IX.62–66	Жуковский	yes
τρὶς	τρὶς	IX.62–66	Вересаев	yes
ἕκαστος	ἕκαστον	IX.62–66	Жуковский	yes
ἕκαστος	ἕκαστον	IX.62–66	Вересаев	yes
ἀΰω	ἀῦσαι	IX.62–66	Жуковский	yes
ἀΰω	ἀῦσαι	IX.62–66	Вересаев	yes
θνῄσκω	θάνον	IX.62–66	Жуковский	yes
θνῄσκω	θάνον	IX.62–66	Вересаев	yes
πεδίον	πεδίῳ	IX.62–66	Жуковский	yes
πεδίον	πεδίῳ	IX.62–66	Вересаев	yes
