Word	Translation	Type
το φαγητό	food	noun
το ποτό	drink	noun
η διατροφή	nutrition / diet	noun
η δίαιτα	diet	noun
το εστιατόριο	restaurant	noun
το γεύμα	meal	noun
το δείπνο	dinner	noun
το πρωινό	breakfast	noun
το μεσημεριανό	lunch	noun
το γλυκό	sweet / dessert	noun
ο κατάλογος	menu	noun
η παραγγελία	order	noun
η μερίδα	portion	noun
ο λογαριασμός	bill	noun
το κρέας	meat	noun
το ψάρι	fish	noun
το λαχανικό	vegetable	noun
το φρούτο	fruit	noun
το αβγό	egg	noun
ο καφές	coffee	noun
ο μεζές	snack / appetizer	noun
η φασολάδα	bean soup	noun
το κρασί	wine	noun
η μπίρα	beer	noun
η καθυστέρηση	delay	noun
το ορεκτικό	appetizer	noun
το ουζερί	ouzo bar	noun
η κράτηση	reservation	noun
η πιατέλα	platter	noun
τρώω	to eat	verb
πίνω	to drink	verb
μαγειρεύω	to cook	verb
παραγγέλνω	to order	verb
κερνάω	to treat	verb
πεινάω	to be hungry	verb
βράζω	to boil	verb
ψήνω	to grill / roast	verb
τηγανίζω	to fry	verb
δοκιμάζω	to try / taste	verb
σερβίρω	to serve	verb
παχαίνω	to gain weight / be fattening	verb
νόστιμος, -η, -ο	tasty / delicious	adjective
υγιεινός, -ή, -ό	healthy	adjective
φρέσκος, -ια, -ο	fresh	adjective
άψητος, -η, -ο	raw / undercooked	adjective
ψητός, -ή, -ό	roasted / grilled	adjective
βιολογικός, -ή, -ό	organic	adjective
κατεψυγμένος, -η, -ο	frozen	adjective
