Word	Translation
Μας συγχωρείτε για την καθυστέρηση.	Please forgive us for the delay.
Ήμασταν έτοιμοι να φύγουμε.	We were about to leave.
Τι θα πάρετε;	What will you have?
Το κόκκινο κρασί πάει καλύτερα με το κρέας.	Red wine goes better with meat.
Φτάνουν αυτά για την ώρα.	That's enough for now.
Μάθαμε απ' έξω τον κατάλογο.	We've learned the menu by heart.
Θα ήθελα μία μπριζόλα, αν γίνεται.	I'd like a steak, if that's possible.
Πώς δε γίνεται;	Why wouldn't it be possible?
Κάνουμε ό,τι καλύτερο μπορούμε.	We do the best we can.
Τρέχω και δε φτάνω!	I'm rushed off my feet!
Πώς τα περνάς;	How are you doing?
Δε λέει...	Words fail...
Το τι τραβήξαμε δε λέγεται!	You can't imagine what we went through!
Με το ζόρι βρήκαμε ένα τραπεζάκι.	We barely found a table.
Άσ' τα να πάνε!	Don't even get me started!
Οι κεφτέδες ήταν για πέταμα.	The meatballs were fit for the trash.
μερικοί μερικοί	some people (contrastive, "some people [have it good]")
Έχασε το χρώμα της!	She turned pale! (lit. "she lost her color")
Σε ζηλεύω	I envy you
Καλά να περνάς!	Take care! (lit. "may you fare well")
Ζηλεύω...	I'm jealous...
Λέω κάτι χίλιες φορές	I say something a thousand times
παραλία άδεια από κόσμο	a beach empty of people
Γίνεται χαμός.	It turns into chaos.
«γρήγορο» φαγητό	"fast" food
Κόβω τα γλυκά.	I'm cutting out sweets.
Μια κράτηση θα ήθελα να κάνω.	I'd like to make a reservation.
Για πότε ενδιαφέρεστε;	What date are you interested in?
Αν δεν κάνω λάθος...	If I'm not mistaken...
Για πόσα άτομα;	For how many people?
Πόσο πάει το μπουκάλι;	How much per bottle?
Ένα τραπέζι για πέντε άτομα.	A table for five.
Σε ποιο όνομα;	Under what name?
Τι ώρα ανοίγει το μαγαζί;	What time does the place open?
Να είστε εδώ μέχρι..., γιατί διαφορετικά θα δώσουμε το τραπέζι.	Please be here by..., otherwise we'll give the table away.
Θα έρθουμε στην ώρα μας.	We'll be there on time.
