Word	Translation
το φαγητό	еда
το ποτό	напиток
η διατροφή	питание
η δίαιτα	диета
το εστιατόριο	ресторан
το γεύμα	трапеза
το δείπνο	ужин
το πρωινό	завтрак
το μεσημεριανό	обед
το γλυκό	сладкое
ο κατάλογος	меню
η παραγγελία	заказ
η μερίδα	порция
ο λογαριασμός	счёт
το κρέας	мясо
το ψάρι	рыба
το λαχανικό	овощ
το φρούτο	фрукт
το αβγό	яйцо
ο καφές	кофе
ο μεζές	закуска (греческая, к узо)
η φασολάδα	фасолада
το κρασί	вино
η μπίρα	пиво
η καθυστέρηση	задержка
το ορεκτικό	закуска, аперитив (общее)
το ουζερί	узери
η κράτηση	бронирование
η πιατέλα	блюдо
ο μπαμπάς	папа
ο ψαράς	рыбак
ο παπάς	священник
ο χαλβάς	халва
ο μπακλαβάς	пахлава
ο καβγάς	ссора
ο κεφτές	тефтеля
ο πουρές	пюре
ο μανάβης	зеленщик
ο μπακάλης	бакалейщик
ο χασάπης	мясник
ο τσαγκάρης	сапожник
ο σπιτονοικοκύρης	домовладелец
ο καφετζής	хозяин кафе
ο ψιλικατζής	хозяин киоска
ο παλιατζής	старьёвщик
ο ταξιτζής	таксист
ο μπογιατζής	маляр
ο σουβλατζής	продавец сувлаки
ο παππούς	дедушка
η μαμά	мама
η γιαγιά	бабушка
η μαϊμού	обезьяна
η αλεπού	лиса
το γάλα	молоко
η ταβέρνα	таверна
η ψαροταβέρνα	рыбная таверна
το μεζεδοπωλείο	мезе-ресторан
το ψητοπωλείο	гриль-ресторан
το σουβλατζίδικο	сувлакерия
η πιτσαρία	пиццерия
το φαστφουντάδικο	фастфуд
η μπιραρία	пивная
το ζαχαροπλαστείο	кондитерская
το καφενείο	кофейня
η καφετέρια	кафетерий
ο σεφ	шеф-повар
ο μάγειρας	повар
ο ζαχαροπλάστης	кондитер
το γκαρσόν	официант
η κατσαρόλα	кастрюля
το ταψί	противень
το τηγάνι	сковорода
το μπρίκι	джезва
η κουτάλα	половник
το σουρωτήρι	дуршлаг
το ψυγείο	холодильник
ο φούρνος	духовка
η τοστιέρα	тостер-сэндвичница
η καφετιέρα	кофеварка
το μίξερ	миксер
το κουτάλι	ложка
το μαχαίρι	нож
το πιρούνι	вилка
το πιάτο	тарелка
το ποτήρι	стакан
το φλιτζάνι	чашка
η κανάτα	кувшин
η αλατιέρα	солонка
η πετσέτα	салфетка
η τούρτα	торт
το παγωτό	мороженое
το φασόλι	фасоль
το κρεμμύδι	лук
το καρότο	морковь
το σέλινο	сельдерей
η ντομάτα	помидор
το ελαιόλαδο	оливковое масло
το αλάτι	соль
το πιπέρι	перец
ο αρακάς	горох
η φακή	чечевица
το ρύζι	рис
το γιαούρτι	йогурт
τα ρεβίθια	нут
τα όσπρια	бобовые
τα γαλακτοκομικά	молочные продукты
το αγγούρι	огурец
το μαρούλι	салат (латук)
το λάχανο	капуста
το πράσο	лук-порей
το σπανάκι	шпинат
η φράουλα	клубника
το ζαμπόν	ветчина
η φέτα	фета
η γραβιέρα	грюйера (греческая)
το τυρί	сыр
το βάρος	вес
το γουρουνόπουλο	молочный поросёнок
ο κιμάς	фарш
η μπριζόλα	отбивная
η σαλάτα	салат
η πατάτα	картофель
το σάντουιτς	бутерброд
ο γύρος	гирос
το σουβλάκι	сувлаки
τα ζυμαρικά	макароны
η πίτα	пита
το κοτόπουλο	курица
το κεμπάπ	кебаб
τα γεμιστά	долма / фаршированные овощи
τα φασολάκια	зелёная фасоль
ο μουσακάς	мусака
το παστίτσιο	пастицио
το αναψυκτικό	безалкогольный напиток
το μπιφτέκι	бифштекс
