Word	Translation
το φαγητό	food
το ποτό	drink
η διατροφή	nutrition
η δίαιτα	diet
το εστιατόριο	restaurant
το γεύμα	meal
το δείπνο	dinner
το πρωινό	breakfast
το μεσημεριανό	lunch
το γλυκό	dessert
ο κατάλογος	menu
η παραγγελία	order
η μερίδα	portion
ο λογαριασμός	bill
το κρέας	meat
το ψάρι	fish
το λαχανικό	vegetable
το φρούτο	fruit
το αβγό	egg
ο καφές	coffee
ο μεζές	meze (Greek small shared snack)
η φασολάδα	bean soup
το κρασί	wine
η μπίρα	beer
η καθυστέρηση	delay
το ορεκτικό	appetizer, starter (formal)
το ουζερί	ouzo bar
η κράτηση	reservation
η πιατέλα	platter
ο μπαμπάς	dad
ο ψαράς	fisherman
ο παπάς	priest
ο χαλβάς	halva
ο μπακλαβάς	baklava
ο καβγάς	quarrel
ο κεφτές	meatball
ο πουρές	mashed potatoes
ο μανάβης	greengrocer
ο μπακάλης	grocer
ο χασάπης	butcher
ο τσαγκάρης	shoemaker
ο σπιτονοικοκύρης	landlord
ο καφετζής	coffee-shop owner
ο ψιλικατζής	kiosk owner
ο παλιατζής	junk dealer
ο ταξιτζής	taxi driver
ο μπογιατζής	house painter
ο σουβλατζής	souvlaki seller
ο παππούς	grandpa
η μαμά	mom
η γιαγιά	grandma
η μαϊμού	monkey
η αλεπού	fox
το γάλα	milk
η ταβέρνα	tavern
η ψαροταβέρνα	fish tavern
το μεζεδοπωλείο	meze restaurant
το ψητοπωλείο	grill house
το σουβλατζίδικο	souvlaki shop
η πιτσαρία	pizzeria
το φαστφουντάδικο	fast-food place
η μπιραρία	beer hall
το ζαχαροπλαστείο	pastry shop
το καφενείο	coffee house
η καφετέρια	café
ο σεφ	chef
ο μάγειρας	cook
ο ζαχαροπλάστης	pastry chef
το γκαρσόν	waiter
η κατσαρόλα	pot
το ταψί	baking pan
το τηγάνι	frying pan
το μπρίκι	Greek coffee pot
η κουτάλα	ladle
το σουρωτήρι	colander
το ψυγείο	fridge
ο φούρνος	oven
η τοστιέρα	sandwich toaster
η καφετιέρα	coffee maker
το μίξερ	mixer
το κουτάλι	spoon
το μαχαίρι	knife
το πιρούνι	fork
το πιάτο	plate
το ποτήρι	glass
το φλιτζάνι	cup
η κανάτα	jug
η αλατιέρα	salt shaker
η πετσέτα	napkin
η τούρτα	cake
το παγωτό	ice cream
το φασόλι	bean
το κρεμμύδι	onion
το καρότο	carrot
το σέλινο	celery
η ντομάτα	tomato
το ελαιόλαδο	olive oil
το αλάτι	salt
το πιπέρι	pepper
ο αρακάς	peas
η φακή	lentil
το ρύζι	rice
το γιαούρτι	yogurt
τα ρεβίθια	chickpeas
τα όσπρια	legumes
τα γαλακτοκομικά	dairy products
το αγγούρι	cucumber
το μαρούλι	lettuce
το λάχανο	cabbage
το πράσο	leek
το σπανάκι	spinach
η φράουλα	strawberry
το ζαμπόν	ham
η φέτα	feta cheese
η γραβιέρα	graviera cheese
το τυρί	cheese
το βάρος	weight
το γουρουνόπουλο	suckling pig
ο κιμάς	minced meat
η μπριζόλα	chop / steak
η σαλάτα	salad
η πατάτα	potato
το σάντουιτς	sandwich
ο γύρος	gyros
το σουβλάκι	souvlaki
τα ζυμαρικά	pasta
η πίτα	pita / wrap
το κοτόπουλο	chicken
το κεμπάπ	kebab
τα γεμιστά	stuffed vegetables
τα φασολάκια	green beans
ο μουσακάς	moussaka
το παστίτσιο	pastitsio
το αναψυκτικό	soft drink
το μπιφτέκι	burger patty
