Word	Translation
Μας συγχωρείτε για την καθυστέρηση.	Простите нас за опоздание.
Ήμασταν έτοιμοι να φύγουμε.	Мы уже собирались уходить.
Το κόκκινο κρασί πάει καλύτερα με το κρέας.	Красное вино лучше сочетается с мясом.
Φτάνουν αυτά για την ώρα.	Пока этого достаточно.
Μάθαμε απ' έξω τον κατάλογο.	Мы выучили меню наизусть.
Θα ήθελα μία μπριζόλα, αν γίνεται.	Я хотел(а) бы стейк, если можно.
Πώς δε γίνεται;	Почему бы и нет?
Κάνουμε ό,τι καλύτερο μπορούμε.	Мы делаем всё, что в наших силах.
Τρέχω και δε φτάνω!	Я просто разрываюсь на части!
Πώς τα περνάς;	Как у тебя дела?
Δε λέει...	Словами не передать...
Το τι τραβήξαμε δε λέγεται!	Ты не представляешь, что нам пришлось пережить!
Με το ζόρι βρήκαμε ένα τραπεζάκι.	Мы еле нашли столик.
Άσ' τα να πάνε!	Да ну его всё!
Οι κεφτέδες ήταν για πέταμα.	Котлеты были никуда не годные.
μερικοί μερικοί	некоторым везёт (в противопоставительном смысле)
Έχασε το χρώμα της!	Она побледнела!
Σε ζηλεύω	Я тебе завидую
Καλά να περνάς!	Счастливо!
Ζηλεύω...	Завидую...
Λέω κάτι χίλιες φορές	Я повторяю что-то тысячу раз
παραλία άδεια από κόσμο	пляж, пустой от людей
Γίνεται χαμός.	Начинается хаос.
«γρήγορο» φαγητό	«быстрая» еда
Κόβω τα γλυκά.	Я отказываюсь от сладкого.
Μια κράτηση θα ήθελα να κάνω.	Я хотел(а) бы сделать бронь.
Για πότε ενδιαφέρεστε;	На какую дату вас интересует?
Αν δεν κάνω λάθος...	Если я не ошибаюсь...
Για πόσα άτομα;	На сколько человек?
Πόσο πάει το μπουκάλι;	Сколько стоит бутылка?
Ένα τραπέζι για πέντε άτομα.	Столик на пять человек.
Σε ποιο όνομα;	На какое имя?
Τι ώρα ανοίγει το μαγαζί;	Во сколько открывается заведение?
Να είστε εδώ μέχρι..., γιατί διαφορετικά θα δώσουμε το τραπέζι.	Будьте здесь до..., иначе мы отдадим столик.
Θα έρθουμε στην ώρα μας.	Мы придём вовремя.
