Word	Translation
τρώω	есть
πίνω	пить
μαγειρεύω	готовить
παραγγέλνω	заказывать
κερνάω	угощать
πεινάω	быть голодным
βράζω	варить
ψήνω	печь / жарить
τηγανίζω	жарить
δοκιμάζω	пробовать
σερβίρω	подавать
παχαίνω	толстеть
αγοράζω	покупать
ανάβω	зажигать
ανεβαίνω	подниматься
ανοίγω	открывать
αρρωσταίνω	заболевать
αρχίζω	начинать
βάζω	класть / ставить
βγάζω	вынимать / снимать
βγαίνω	выходить
βλάπτω	вредить
βλέπω	видеть
βρίσκω	находить
γελάω	смеяться
γευματίζω	обедать
γίνομαι	становиться
γράφω	писать
διαβάζω	читать
διψάω	хотеть пить
δίνω	давать
δουλεύω	работать
ετοιμάζω	готовить (приготавливать)
έρχομαι	приходить
ζω	жить
θέλω	хотеть
καίω	жечь
καλώ	приглашать
κανονίζω	договариваться
κάνω	делать
καπνίζω	курить
καταλαβαίνω	понимать
κατεβαίνω	спускаться
κλαίω	плакать
κλείνω	бронировать / закрывать
κοιτάω	смотреть
λείπω	отсутствовать
λέω	говорить
μαθαίνω	учиться / узнавать
μένω	оставаться
μιλάω	разговаривать
μπαίνω	входить
μπορώ	мочь
μυρίζω	пахнуть
ξεχνάω	забывать
παθαίνω	страдать
παίρνω	брать
πεθαίνω	умирать
περιμένω	ждать
πετάω	бросать / выбрасывать
πέφτω	падать
πηγαίνω	идти / ехать
πλένω	мыть
πληρώνω	платить
προσέχω	быть осторожным
στέλνω	посылать
τηλεφωνώ	звонить
φέρνω	приносить
φεύγω	уходить / уезжать
φοράω	носить
φτάνω	прибывать
φτιάχνω	делать / чинить
φυσάω	дуть
ψωνίζω	делать покупки
