Word	Translation
το ασθενοφόρο	скорая помощь
το ατύχημα	авария
η διασταύρωση	перекрёсток
το κράνος	шлем
το στενό	переулок
η τροχαία	дорожная полиция
ο οδηγός	водитель
η αστυνομία	полиция
το φανάρι	светофор
το πρόστιμο	штраф
ο αστυνομικός	полицейский
ο γιατρός	врач
η ακτινογραφία	рентген
η αναρρωτική άδεια	больничный
η ζαλάδα	головокружение
το κάταγμα	перелом
το παυσίπονο	обезболивающее
η ζώνη ασφαλείας	ремень безопасности
η ταχύτητα	скорость
η λωρίδα	полоса движения
η κόρνα	клаксон
το φλας	поворотник
η πινακίδα	дорожный знак
η δικαιολογία	оправдание
η ζωή	жизнь
ο άνθρωπος	человек
ο δρόμος	дорога
