Word	Translation
Ω, Θεέ μου!	Oh, my God!
Ρε άνθρωπέ μου, στραβός είσαι;	Are you blind, man?
Ολόκληρο ΣΤΟΠ δεν το είδες;	You didn't see the whole STOP sign?
Παραλίγο να το σκοτώσεις το παιδί!	You almost killed the kid!
Φοβάμαι ότι το έσπασα.	I'm afraid I broke it.
Ευτυχώς που φορούσε κράνος.	Fortunately he was wearing a helmet.
Εμ, βέβαια! Αν μιλάς στο κινητό, πώς να προσέξεις τη μηχανή;	Well, of course! If you're on the phone, how can you pay attention to the motorcycle?
Θα μπλέξετε άσχημα.	You'll get into serious trouble.
Μπορεί να το πληρώσετε ακριβά.	You might pay dearly for it.
Πώς αισθάνεσαι;	How are you feeling?
Αυτό είναι μάλλον λογικό.	That's quite understandable.
Κάπως λιγότερο, νομίζω.	Somewhat less, I think.
Εν πάση περιπτώσει...	In any case...
Βγάζω ακτινογραφία	I get an X-ray
Έχω κάταγμα	I have a fracture
Ζαλίζομαι = Νιώθω ζαλάδα	I feel dizzy
Παίρνω παυσίπονα	I take painkillers
Βάζω πάγο	I apply ice
