Word	Translation
το ασθενοφόρο	ambulance
το ατύχημα	accident
η διασταύρωση	intersection
το κράνος	helmet
το στενό	alley
η τροχαία	traffic police
ο οδηγός	driver
η αστυνομία	police
το φανάρι	traffic light
το πρόστιμο	fine
ο αστυνομικός	policeman
ο γιατρός	doctor
η ακτινογραφία	X-ray
η αναρρωτική άδεια	sick leave
η ζαλάδα	dizziness
το κάταγμα	fracture
το παυσίπονο	painkiller
η ζώνη ασφαλείας	seatbelt
η ταχύτητα	speed
η λωρίδα	(traffic) lane
η κόρνα	horn
το φλας	turn signal
η πινακίδα	road sign
η δικαιολογία	excuse
η ζωή	life
ο άνθρωπος	human / person
ο δρόμος	road
