Word	Translation	Type
το ασθενοφόρο	ambulance	noun
το ατύχημα	accident	noun
η διασταύρωση	intersection	noun
το κράνος	helmet	noun
το στενό	alley	noun
η τροχαία	traffic police	noun
η ακτινογραφία	X-ray	noun
η αναρρωτική άδεια	sick leave	noun
η ζαλάδα	dizziness	noun
το κάταγμα	fracture	noun
το παυσίπονο	painkiller	noun
ζαλίζομαι	to feel dizzy	verb
βγάζω ακτινογραφία	to get an X-ray	phrase
έχω κάταγμα	to have a fracture	phrase
παίρνω παυσίπονα	to take painkillers	phrase
βάζω πάγο	to apply ice	phrase
ρισκάρω	to risk	verb
προσπερνάω	to overtake	verb
επικίνδυνος, -η, -ο	dangerous	adjective
προσεκτικός, -ή, -ό	careful	adjective
απρόσεκτος, -η, -ο	careless	adjective
