Word	Translation
Ω, Θεέ μου!	О, боже мой!
Ρε άνθρωπέ μου, στραβός είσαι;	Слушай, ты что, слепой?
Ολόκληρο ΣΤΟΠ δεν το είδες;	Ты не заметил целый знак СТОП?
Παραλίγο να το σκοτώσεις το παιδί!	Ты чуть не убил ребёнка!
Φοβάμαι ότι το έσπασα.	Боюсь, я его сломал(а).
Ευτυχώς που φορούσε κράνος.	К счастью, на нём был шлем.
Εμ, βέβαια! Αν μιλάς στο κινητό, πώς να προσέξεις τη μηχανή;	Ну ещё бы! Если ты говоришь по телефону, как ты можешь следить за мотоциклом?
Θα μπλέξετε άσχημα.	У вас будут серьёзные неприятности.
Μπορεί να το πληρώσετε ακριβά.	Вам это может дорого обойтись.
Πώς αισθάνεσαι;	Как ты себя чувствуешь?
Αυτό είναι μάλλον λογικό.	Это вполне логично.
Κάπως λιγότερο, νομίζω.	Немного меньше, наверное.
Εν πάση περιπτώσει...	В любом случае...
Βγάζω ακτινογραφία	Я делаю рентген
Έχω κάταγμα	У меня перелом
Ζαλίζομαι = Νιώθω ζαλάδα	У меня кружится голова
Παίρνω παυσίπονα	Я принимаю обезболивающее
Βάζω πάγο	Я прикладываю лёд
