Word	Translation
το σπίτι	дом
το διαμέρισμα	квартира
ο ιδιοκτήτης	владелец
ο ενοικιαστής	арендатор
το ενοίκιο	арендная плата
το συμβόλαιο	контракт
η υγρασία	сырость
τα υδραυλικά	сантехника
η μετακόμιση	переезд
η συγκατοίκηση	сожительство
ο συγκάτοικος	сожитель
τα κοινόχρηστα	коммунальные платежи
η ζημιά	ущерб
ο μάστορας	мастер
ο σωλήνας	труба
η κούτα	большая коробка
το δωμάτιο	комната
η κουζίνα	кухня
το μπάνιο	ванная
ο τοίχος	стена
ο γείτονας	сосед
ο όροφος	этаж
ο λογαριασμός	счёт
το φορτηγό	грузовик
ο γερανός	кран (подъёмный)
το αφεντικό	начальник
ο υπάλληλος	сотрудник
ο σκύλος	собака
το γκαράζ	гараж
το ψυγείο	холодильник
το ράφι	полка
ο υδραυλικός	сантехник
