Word	Translation
το σπίτι	house
το διαμέρισμα	apartment
ο ιδιοκτήτης	owner
ο ενοικιαστής	tenant
το ενοίκιο	rent
το συμβόλαιο	contract
η υγρασία	dampness
τα υδραυλικά	plumbing
η μετακόμιση	move
η συγκατοίκηση	cohabitation
ο συγκάτοικος	roommate
τα κοινόχρηστα	common expenses
η ζημιά	damage
ο μάστορας	technician
ο σωλήνας	pipe
η κούτα	large box
το δωμάτιο	room
η κουζίνα	kitchen
το μπάνιο	bathroom
ο τοίχος	wall
ο γείτονας	neighbor
ο όροφος	floor / story
ο λογαριασμός	bill
το φορτηγό	truck
ο γερανός	crane
το αφεντικό	boss
ο υπάλληλος	employee
ο σκύλος	dog
το γκαράζ	garage
το ψυγείο	fridge
το ράφι	shelf
ο υδραυλικός	plumber
