form	lemma	pos	context	meaning
Ἰλιόθεν	Ἰλιόθεν	name	I (Od. IX 39-42)	из Илиона, из Трои (Ἴλιον + -θεν)
με	ἐγώ	pronoun	I (Od. IX 39-42)	меня (вин. п. от ἐγώ)
φέρων	φέρω	verb	I (Od. IX 39-42)	неся, несущий (причастие наст. вр. муж. р., им. п. от φέρω)
ἄνεμος	ἄνεμος	noun	I (Od. IX 39-42)	ветер
Κικόνεσσι	Κίκονες	name	I (Od. IX 39-42)	(к) киконам, дат. п. мн. ч. (Κίκονες)
πέλασσεν	πελάζω	verb	I (Od. IX 39-42)	приблизил, притащил; 3 л. ед. ч. аорист πελάζω
Ἰσμάρῳ	Ἴσμαρος	name	I (Od. IX 39-42)	(к) Исмару, дат. п. от Ἴσμαρος, город киконов во Фракии
ἔνθα	ἔνθα	adv	I (Od. IX 39-42)	там; тогда
δ'	δέ	particle	I (Od. IX 39-42)	противительная частица: а, же
ἐγὼ	ἐγώ	pronoun	I (Od. IX 39-42)	я
πόλιν	πόλις	noun	I (Od. IX 39-42)	вин. п. от πόλις город
ἔπραθον	πέρθω	verb	I (Od. IX 39-42)	я разрушил = ἔπερσα, аорист от πέρθω разорять, разрушать, громить
ὤλεσα	ὄλλυμι	verb	I (Od. IX 39-42)	я погубил, убил; аорист от ὄλλυμι
αὐτούς	αὐτός	pronoun	I (Od. IX 39-42)	их; вин. п. муж. род мн. ч. от αὐτός
ἐκ	ἐκ	prep	I (Od. IX 39-42)	из
πόλιος	πόλις	noun	I (Od. IX 39-42)	род. п. ед. ч. от πόλις город
ἀλόχους	ἄλοχος	noun	I (Od. IX 39-42)	вин. п. мн. ч. от ἄλοχος супруга, любовница, наложница
καὶ	καί	conj	I (Od. IX 39-42)	и
κτήματα	κτῆμα	noun	I (Od. IX 39-42)	мн. ч. вин. п от κτῆμα обретение, имущество
λαβόντες	λαμβάνω	verb	I (Od. IX 39-42)	аористное причастие от λαμβάνω в муж. роде мн. ч. им. п., взявшие, получившие
δασσάμεθ'	δατέομαι	verb	I (Od. IX 39-42)	медиальный аорист 1 л. мн. ч. от δατέομαι делить между собой
ὡς	ὡς	conj	I (Od. IX 39-42)	зд. чтобы
μή	μή	particle	I (Od. IX 39-42)	не
τίς	τίς	pronoun	I (Od. IX 39-42)	кто-то
ἀτεμβόμενος	ἀτέμβω	verb	I (Od. IX 39-42)	причастие наст. вр. от ἀτέμβω плохо обращаться с кем-л.
κίοι	κίω	verb	I (Od. IX 39-42)	оптатив настоящего времени либо аориста (зд. аориста) от κίω идти, двигаться
ἴσης	ἴσος	adj	I (Od. IX 39-42)	род. п. жен. род ед. ч. от ἴσος равный
ἔνθ'	ἔνθα	adv	II (Od. IX 43-46)	там, тогда
ἐγὼ	ἐγώ	pronoun	II (Od. IX 43-46)	я (и даже я-то вот)
διερῷ	διερός	adj	II (Od. IX 43-46)	дат. п. ед. ч. муж. р. от διερός живой, быстрый
ποδὶ	πούς	noun	II (Od. IX 43-46)	дат. п. ед. ч. от πούς нога
φευγέμεν	φεύγω	verb	II (Od. IX 43-46)	гомеровский инфинитив от φεύγω убегать, избегать
ἡμέας	ἡμεῖς	pronoun	II (Od. IX 43-46)	вин. п. от ἡμεῖς мы
ἠνώγεα	ἄνωγα	verb	II (Od. IX 43-46)	плюсквамперфект от перфектной формы ἄνωγα «я убеждал/приказал»
τοὶ	ὁ	particle	II (Od. IX 43-46)	местоимение/артикль мужского рода в им. п. мн. ч., они; οἱ νήπιοι неразумные
μέγα	μέγας	adv	II (Od. IX 43-46)	сильно, очень, много
νήπιοι	νήπιος	adj	II (Od. IX 43-46)	им. п. мн. ч. муж. род νήπιος неразумный
οὐκ	οὐ	particle	II (Od. IX 43-46)	не
ἐπίθοντο	πείθω	verb	II (Od. IX 43-46)	аорист медиального залога от πείθω убеждать
πολλὸν	πολύς	adj	II (Od. IX 43-46)	= πολύ
μέθυ	μέθυ	noun	II (Od. IX 43-46)	алкогольный напиток, хмельное
πίνετο	πίνω	verb	II (Od. IX 43-46)	имперфект в пассивном залоге 3 л. ед. ч. от πίνω пить
μῆλα	μῆλον	noun	II (Od. IX 43-46)	вин. п. мн. ч. от μῆλον мелкий скот (козы, овцы), не путать с яблоками
ἔσφαζον	σφάζω	verb	II (Od. IX 43-46)	имперфект 3 л. мн. ч. от σφάζω резать, закалывать
παρὰ	παρά	prep	II (Od. IX 43-46)	зд. около
θῖνα	θίς	noun	II (Od. IX 43-46)	вин. п. ед. ч. θίς берег, пляж
εἰλίποδας	εἰλίπους	adj	II (Od. IX 43-46)	вин. п. мн. ч. от εἰλίπους, εἴλω + πούς, волочащий ноги
ἕλικας	ἕλιξ	adj	II (Od. IX 43-46)	вин. п. мн. ч. от ἕλιξ изогнутый, извилистый
βοῦς	βοῦς	noun	II (Od. IX 43-46)	вин. п. мн. ч. от βοῦς бык, корова, вол
τόφρα	τόφρα	adv	III (Od. IX 47-50)	тогда, тем временем
