lemma	form	stanza_ref	translator	reflected
Ἰλιόθεν	Ἰλιόθεν	IX.39–42	Жуковский	yes
Ἰλιόθεν	Ἰλιόθεν	IX.39–42	Вересаев	yes
φέρω	φέρων	IX.39–42	Жуковский	yes
φέρω	φέρων	IX.39–42	Вересаев	yes
ἄνεμος	ἄνεμος	IX.39–42	Жуковский	yes
ἄνεμος	ἄνεμος	IX.39–42	Вересаев	yes
Κίκονες	Κικόνεσσι	IX.39–42	Жуковский	yes
Κίκονες	Κικόνεσσι	IX.39–42	Вересаев	yes
Κίκονες	Κικόνεσσι	IX.47–50	Жуковский	yes
Κίκονες	Κικόνεσσι	IX.47–50	Вересаев	yes
πελάζω	πέλασσεν	IX.39–42	Жуковский	yes
πελάζω	πέλασσεν	IX.39–42	Вересаев	yes
Ἴσμαρος	Ἰσμάρῳ	IX.39–42	Жуковский	yes
Ἴσμαρος	Ἰσμάρῳ	IX.39–42	Вересаев	yes
ἔνθα	ἔνθα	IX.39–42	Жуковский	no
ἔνθα	ἔνθα	IX.39–42	Вересаев	no
ἔνθα	ἔνθα	IX.43–46	Жуковский	no
ἔνθα	ἔνθα	IX.43–46	Вересаев	yes
πόλις	πόλιν	IX.39–42	Жуковский	yes
πόλις	πόλιν	IX.39–42	Вересаев	yes
πέρθω	ἔπραθον	IX.39–42	Жуковский	yes
πέρθω	ἔπραθον	IX.39–42	Вересаев	yes
ὄλλυμι	ὤλεσα	IX.39–42	Жуковский	yes
ὄλλυμι	ὤλεσα	IX.39–42	Вересаев	yes
πόλις	πόλιος	IX.39–42	Жуковский	no
πόλις	πόλιος	IX.39–42	Вересаев	yes
ἄλοχος	ἀλόχους	IX.39–42	Жуковский	yes
ἄλοχος	ἀλόχους	IX.39–42	Вересаев	yes
κτῆμα	κτήματα	IX.39–42	Жуковский	yes
κτῆμα	κτήματα	IX.39–42	Вересаев	yes
λαμβάνω	λαβόντες	IX.39–42	Жуковский	yes
λαμβάνω	λαβόντες	IX.39–42	Вересаев	yes
δατέομαι	δασσάμεθ'	IX.39–42	Жуковский	yes
δατέομαι	δασσάμεθ'	IX.39–42	Вересаев	yes
ἀτέμβω	ἀτεμβόμενος	IX.39–42	Жуковский	no
ἀτέμβω	ἀτεμβόμενος	IX.39–42	Вересаев	yes
κίω	κίοι	IX.39–42	Жуковский	no
κίω	κίοι	IX.39–42	Вересаев	yes
ἴσος	ἴσης	IX.39–42	Жуковский	no
ἴσος	ἴσης	IX.39–42	Вересаев	no
ἔνθα	ἔνθ'	IX.43–46	Жуковский	no
ἔνθα	ἔνθ'	IX.43–46	Вересаев	yes
διερός	διερῷ	IX.43–46	Жуковский	yes
διερός	διερῷ	IX.43–46	Вересаев	no
πούς	ποδὶ	IX.43–46	Жуковский	yes
πούς	ποδὶ	IX.43–46	Вересаев	no
φεύγω	φευγέμεν	IX.43–46	Жуковский	yes
φεύγω	φευγέμεν	IX.43–46	Вересаев	yes
ἄνωγα	ἠνώγεα	IX.43–46	Жуковский	yes
ἄνωγα	ἠνώγεα	IX.43–46	Вересаев	yes
μέγας	μέγα	IX.43–46	Жуковский	no
μέγας	μέγα	IX.43–46	Вересаев	no
νήπιος	νήπιοι	IX.43–46	Жуковский	yes
νήπιος	νήπιοι	IX.43–46	Вересаев	yes
πείθω	ἐπίθοντο	IX.43–46	Жуковский	yes
πείθω	ἐπίθοντο	IX.43–46	Вересаев	yes
πολύς	πολλὸν	IX.43–46	Жуковский	yes
πολύς	πολλὸν	IX.43–46	Вересаев	yes
μέθυ	μέθυ	IX.43–46	Жуковский	yes
μέθυ	μέθυ	IX.43–46	Вересаев	yes
πίνω	πίνετο	IX.43–46	Жуковский	yes
πίνω	πίνετο	IX.43–46	Вересаев	yes
μῆλον	μῆλα	IX.43–46	Жуковский	yes
μῆλον	μῆλα	IX.43–46	Вересаев	yes
σφάζω	ἔσφαζον	IX.43–46	Жуковский	yes
σφάζω	ἔσφαζον	IX.43–46	Вересаев	yes
θίς	θῖνα	IX.43–46	Жуковский	yes
θίς	θῖνα	IX.43–46	Вересаев	yes
εἰλίπους	εἰλίποδας	IX.43–46	Жуковский	no
εἰλίπους	εἰλίποδας	IX.43–46	Вересаев	no
ἕλιξ	ἕλικας	IX.43–46	Жуковский	yes
ἕλιξ	ἕλικας	IX.43–46	Вересаев	yes
βοῦς	βοῦς	IX.43–46	Жуковский	yes
βοῦς	βοῦς	IX.43–46	Вересаев	yes
τόφρα	τόφρα	IX.47–50	Жуковский	yes
τόφρα	τόφρα	IX.47–50	Вересаев	yes
τόφρα	τόφρα	IX.56–61	Жуковский	no
τόφρα	τόφρα	IX.56–61	Вересаев	no
οἴχομαι	οἰχόμενοι	IX.47–50	Жуковский	yes
οἴχομαι	οἰχόμενοι	IX.47–50	Вересаев	yes
Κίκονες	Κίκονες	IX.47–50	Жуковский	yes
Κίκονες	Κίκονες	IX.47–50	Вересаев	yes
Κίκονες	Κίκονες	IX.56–61	Жуковский	yes
Κίκονες	Κίκονες	IX.56–61	Вересаев	yes
γεγωνέω	γεγώνευν	IX.47–50	Жуковский	no
γεγωνέω	γεγώνευν	IX.47–50	Вересаев	yes
γείτων	γείτονες	IX.47–50	Жуковский	yes
γείτων	γείτονες	IX.47–50	Вересаев	yes
εἰμί	ἦσαν	IX.47–50	Жуковский	no
εἰμί	ἦσαν	IX.47–50	Вересаев	no
ἅμα	ἅμα	IX.47–50	Жуковский	no
ἅμα	ἅμα	IX.47–50	Вересаев	no
πολύς	πλέονες	IX.47–50	Жуковский	yes
πολύς	πλέονες	IX.47–50	Вересаев	yes
ἀγαθός	ἀρείους	IX.47–50	Жуковский	yes
ἀγαθός	ἀρείους	IX.47–50	Вересаев	yes
